src_account_id,employee_src_id,system_code,system_name,account_login,account_type_code,account_type_name,privileged_flag,admin_flag,account_status,created_at,disabled_at,source_system,load_dttm,batch_id
ACC-0000033,E00009,ERP,ERP Platform,e00009_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2019-10-09 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000034,E00009,CRM,CRM Platform,e00009_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2019-12-23 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000035,E00010,AD,Active Directory,e00010_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2024-07-21 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000036,E00011,AD,Active Directory,e00011_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2021-09-22 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000037,E00011,MAIL,Corporate Mail,e00011_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2021-12-11 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000038,E00012,AD,Active Directory,e00012_ad,DOMAIN,Доменная учётная запись,Y,N,ACTIVE,2023-11-22 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000039,E00012,MAIL,Corporate Mail,e00012_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2023-11-03 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000040,E00013,AD,Active Directory,e00013_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2019-11-11 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000041,E00013,MAIL,Corporate Mail,e00013_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2019-10-13 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000042,E00013,FILE,File Storage,e00013_file,STORAGE,Файловая учётная запись,N,N,ACTIVE,2019-12-23 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000043,E00013,CRM,CRM Platform,e00013_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2019-10-28 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000044,E00014,AD,Active Directory,e00014_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2021-05-03 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000045,E00014,MAIL,Corporate Mail,e00014_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2021-02-27 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000046,E00015,AD,Active Directory,e00015_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2022-01-01 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000047,E00015,VPN,VPN Gateway,e00015_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2021-11-07 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000048,E00015,CRM,CRM Platform,e00015_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2022-01-04 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000049,E00016,AD,Active Directory,e00016_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2019-06-28 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000050,E00016,MAIL,Corporate Mail,e00016_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2019-04-10 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000051,E00016,VPN,VPN Gateway,e00016_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2019-05-27 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000052,E00017,AD,Active Directory,e00017_ad,DOMAIN,Доменная учётная запись,Y,Y,ACTIVE,2024-06-26 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000053,E00017,MAIL,Corporate Mail,e00017_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2024-09-21 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000054,E00018,AD,Active Directory,e00018_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2019-01-11 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000055,E00018,FILE,File Storage,e00018_file,STORAGE,Файловая учётная запись,N,N,ACTIVE,2019-03-04 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000056,E00019,AD,Active Directory,e00019_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2024-09-23 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000057,E00019,MAIL,Corporate Mail,e00019_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2024-10-01 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000058,E00019,VPN,VPN Gateway,e00019_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2024-08-26 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000059,E00019,ERP,ERP Platform,e00019_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2024-10-07 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000060,E00020,AD,Active Directory,e00020_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2019-09-25 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000061,E00020,FILE,File Storage,e00020_file,STORAGE,Файловая учётная запись,N,N,ACTIVE,2019-12-27 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000062,E00021,AD,Active Directory,e00021_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2025-04-02 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000063,E00021,MAIL,Corporate Mail,e00021_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2024-12-20 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000064,E00021,ERP,ERP Platform,e00021_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2025-02-26 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000065,E00022,AD,Active Directory,e00022_ad,DOMAIN,Доменная учётная запись,Y,Y,ACTIVE,2020-01-08 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000066,E00022,MAIL,Corporate Mail,e00022_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2019-11-25 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000067,E00022,VPN,VPN Gateway,e00022_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2019-12-13 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000068,E00022,FILE,File Storage,e00022_file,STORAGE,Файловая учётная запись,N,N,ACTIVE,2019-12-12 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000069,E00023,AD,Active Directory,e00023_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2019-07-05 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000070,E00023,MAIL,Corporate Mail,e00023_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2019-07-26 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000071,E00023,VPN,VPN Gateway,e00023_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2019-07-30 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000072,E00023,ERP,ERP Platform,e00023_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2019-10-06 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000073,E00024,AD,Active Directory,e00024_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2021-12-06 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000074,E00024,MAIL,Corporate Mail,e00024_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2022-03-05 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000075,E00024,CRM,CRM Platform,e00024_crm,BUSINESS,Бизнес-учётная запись,N,N,DISABLED,2021-12-19 00:00:00,2022-03-15 00:00:00,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000076,E00025,AD,Active Directory,e00025_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2022-05-25 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000077,E00025,MAIL,Corporate Mail,e00025_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2022-05-27 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000078,E00025,CRM,CRM Platform,e00025_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2022-07-24 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000079,E00026,AD,Active Directory,e00026_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2020-02-15 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000080,E00026,VPN,VPN Gateway,e00026_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2020-02-02 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000081,E00027,AD,Active Directory,e00027_ad,DOMAIN,Доменная учётная запись,N,N,DISABLED,2023-05-26 00:00:00,2023-10-05 00:00:00,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000082,E00027,VPN,VPN Gateway,e00027_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2023-05-11 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000083,E00027,FILE,File Storage,e00027_file,STORAGE,Файловая учётная запись,N,N,DISABLED,2023-06-12 00:00:00,2023-09-24 00:00:00,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000084,E00028,AD,Active Directory,e00028_ad,DOMAIN,Доменная учётная запись,Y,N,ACTIVE,2019-02-13 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000085,E00028,MAIL,Corporate Mail,e00028_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2019-04-11 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000086,E00028,VPN,VPN Gateway,e00028_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2019-03-27 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000087,E00028,CRM,CRM Platform,e00028_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2019-05-07 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000088,E00029,AD,Active Directory,e00029_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2021-12-21 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000089,E00029,DWH,Data Warehouse,e00029_dwh,ANALYTICS,Аналитическая учётная запись,Y,Y,ACTIVE,2022-02-01 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000090,E00030,AD,Active Directory,e00030_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2021-07-02 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000091,E00030,CRM,CRM Platform,e00030_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2021-07-02 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000092,E00031,AD,Active Directory,e00031_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2022-01-28 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000093,E00031,MAIL,Corporate Mail,e00031_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2022-01-19 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000094,E00031,VPN,VPN Gateway,e00031_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2022-02-20 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000095,E00031,DWH,Data Warehouse,e00031_dwh,ANALYTICS,Аналитическая учётная запись,N,N,ACTIVE,2021-11-28 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000096,E00032,AD,Active Directory,e00032_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2019-07-03 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000097,E00032,VPN,VPN Gateway,e00032_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2019-09-15 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000098,E00032,FILE,File Storage,e00032_file,STORAGE,Файловая учётная запись,N,N,ACTIVE,2019-07-10 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000099,E00033,AD,Active Directory,e00033_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2023-12-31 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000100,E00033,MAIL,Corporate Mail,e00033_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2023-11-24 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000101,E00033,VPN,VPN Gateway,e00033_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2023-11-19 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000102,E00033,CRM,CRM Platform,e00033_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2023-12-24 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000103,E00033,FILE,File Storage,e00033_file,STORAGE,Файловая учётная запись,N,N,ACTIVE,2023-11-25 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000104,E00034,AD,Active Directory,e00034_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2023-04-24 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000105,E00034,MAIL,Corporate Mail,e00034_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2023-03-14 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000106,E00034,DWH,Data Warehouse,e00034_dwh,ANALYTICS,Аналитическая учётная запись,N,N,ACTIVE,2023-02-26 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000107,E00035,AD,Active Directory,e00035_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2019-08-25 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000108,E00035,MAIL,Corporate Mail,e00035_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2019-06-14 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000109,E00035,VPN,VPN Gateway,e00035_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2019-08-30 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000110,E00035,DWH,Data Warehouse,e00035_dwh,ANALYTICS,Аналитическая учётная запись,N,N,ACTIVE,2019-09-03 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000111,E00036,AD,Active Directory,e00036_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2023-09-07 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000112,E00036,MAIL,Corporate Mail,e00036_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2023-10-21 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000113,E00036,VPN,VPN Gateway,e00036_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2023-10-06 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000114,E00036,CRM,CRM Platform,e00036_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2023-09-26 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000115,E00037,AD,Active Directory,e00037_ad,DOMAIN,Доменная учётная запись,Y,Y,ACTIVE,2023-10-09 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000116,E00037,MAIL,Corporate Mail,e00037_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2023-12-11 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000117,E00037,CRM,CRM Platform,e00037_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2023-11-09 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000118,E00038,AD,Active Directory,e00038_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2022-01-28 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000119,E00038,MAIL,Corporate Mail,e00038_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2022-04-04 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000120,E00038,VPN,VPN Gateway,e00038_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2022-04-23 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000121,E00038,DWH,Data Warehouse,e00038_dwh,ANALYTICS,Аналитическая учётная запись,N,N,ACTIVE,2022-01-17 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000122,E00039,AD,Active Directory,e00039_ad,DOMAIN,Доменная учётная запись,N,N,DISABLED,2021-10-12 00:00:00,2022-04-07 00:00:00,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000123,E00039,MAIL,Corporate Mail,e00039_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2021-08-22 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000124,E00039,CRM,CRM Platform,e00039_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2021-07-01 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000125,E00040,AD,Active Directory,e00040_ad,DOMAIN,Доменная учётная запись,Y,N,ACTIVE,2021-06-17 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000126,E00040,MAIL,Corporate Mail,e00040_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2021-06-28 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000127,E00040,VPN,VPN Gateway,e00040_vpn,REMOTE,Удалённый доступ,N,N,DISABLED,2021-06-13 00:00:00,2022-02-10 00:00:00,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000128,E00040,ERP,ERP Platform,e00040_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2021-03-12 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000129,E00041,AD,Active Directory,e00041_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2023-10-06 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000130,E00041,MAIL,Corporate Mail,e00041_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2023-07-26 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000131,E00041,VPN,VPN Gateway,e00041_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2023-09-12 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000132,E00041,ERP,ERP Platform,e00041_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2023-08-16 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000133,E00042,AD,Active Directory,e00042_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2022-02-04 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000134,E00042,MAIL,Corporate Mail,e00042_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2022-04-02 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000135,E00042,ERP,ERP Platform,e00042_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2022-03-25 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000136,E00042,DWH,Data Warehouse,e00042_dwh,ANALYTICS,Аналитическая учётная запись,N,N,ACTIVE,2022-03-31 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000137,E00043,AD,Active Directory,e00043_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2024-12-09 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000138,E00043,MAIL,Corporate Mail,e00043_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2024-11-16 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000139,E00043,CRM,CRM Platform,e00043_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2024-10-14 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000140,E00044,AD,Active Directory,e00044_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2019-03-28 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000141,E00044,MAIL,Corporate Mail,e00044_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2019-02-11 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
