src_file_event_id,employee_src_id,src_account_id,system_code,operation_type_code,operation_type_name,file_classification,operation_dttm,object_path,download_flag,upload_flag,external_transfer_flag,source_system,load_dttm,batch_id
FILE-0000014,E00003,ACC-0000011,MAIL,READ,Чтение файла,CONFIDENTIAL,2024-01-02 11:20:01,/data/mail/folder_27/file_3564.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000015,E00003,ACC-0000011,MAIL,DELETE,Удаление файла,STRICTLY_CONFIDENTIAL,2024-12-15 08:39:45,/data/mail/folder_40/file_3193.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000016,E00003,ACC-0000011,MAIL,UPLOAD,Загрузка файла,STRICTLY_CONFIDENTIAL,2024-06-15 00:29:30,/data/mail/folder_4/file_3284.dat,N,Y,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000017,E00004,ACC-0000014,MAIL,UPLOAD,Загрузка файла,CONFIDENTIAL,2024-03-02 11:37:21,/data/mail/folder_39/file_4123.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000018,E00004,ACC-0000014,MAIL,DELETE,Удаление файла,CONFIDENTIAL,2024-11-23 07:26:03,/data/mail/folder_19/file_3975.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000019,E00004,ACC-0000014,MAIL,READ,Чтение файла,CONFIDENTIAL,2024-01-03 19:41:28,/data/mail/folder_41/file_567.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000020,E00004,ACC-0000014,MAIL,DOWNLOAD,Скачивание файла,INTERNAL,2024-10-01 19:05:04,/data/mail/folder_37/file_4112.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000021,E00005,ACC-0000020,CRM,UPLOAD,Загрузка файла,CONFIDENTIAL,2024-07-20 02:33:29,/data/crm/folder_25/file_60.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000022,E00005,ACC-0000020,CRM,UPLOAD,Загрузка файла,STRICTLY_CONFIDENTIAL,2024-11-07 19:38:23,/data/crm/folder_17/file_2924.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000023,E00005,ACC-0000020,CRM,DOWNLOAD,Скачивание файла,STRICTLY_CONFIDENTIAL,2024-11-26 03:17:00,/data/crm/folder_41/file_2890.dat,Y,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000024,E00006,ACC-0000022,MAIL,UPLOAD,Загрузка файла,INTERNAL,2024-01-23 05:36:26,/data/mail/folder_25/file_4667.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000025,E00006,ACC-0000022,MAIL,SHARE,Предоставление доступа,STRICTLY_CONFIDENTIAL,2024-04-30 18:45:55,/data/mail/folder_28/file_298.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000026,E00006,ACC-0000022,MAIL,READ,Чтение файла,INTERNAL,2024-07-25 09:11:56,/data/mail/folder_48/file_2342.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000027,E00007,ACC-0000025,MAIL,DELETE,Удаление файла,INTERNAL,2024-12-17 21:32:47,/data/mail/folder_28/file_3797.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000028,E00008,ACC-0000028,MAIL,SHARE,Предоставление доступа,STRICTLY_CONFIDENTIAL,2024-03-01 23:38:15,/data/mail/folder_18/file_2906.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000029,E00008,ACC-0000028,MAIL,DOWNLOAD,Скачивание файла,CONFIDENTIAL,2024-02-10 14:34:45,/data/mail/folder_47/file_4627.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000030,E00009,ACC-0000034,CRM,UPLOAD,Загрузка файла,STRICTLY_CONFIDENTIAL,2024-04-10 20:09:28,/data/crm/folder_13/file_1771.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000031,E00009,ACC-0000034,CRM,READ,Чтение файла,CONFIDENTIAL,2024-12-30 14:15:29,/data/crm/folder_48/file_3963.dat,N,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000032,E00011,ACC-0000037,MAIL,SHARE,Предоставление доступа,STRICTLY_CONFIDENTIAL,2024-01-06 04:32:38,/data/mail/folder_30/file_3895.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000033,E00011,ACC-0000037,MAIL,UPLOAD,Загрузка файла,INTERNAL,2024-10-19 00:38:00,/data/mail/folder_22/file_2564.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000034,E00012,ACC-0000039,MAIL,DOWNLOAD,Скачивание файла,CONFIDENTIAL,2024-05-28 15:57:59,/data/mail/folder_9/file_3951.dat,Y,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000035,E00012,ACC-0000039,MAIL,DOWNLOAD,Скачивание файла,INTERNAL,2024-06-09 06:54:32,/data/mail/folder_11/file_1164.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000036,E00012,ACC-0000039,MAIL,SHARE,Предоставление доступа,STRICTLY_CONFIDENTIAL,2024-06-13 16:48:44,/data/mail/folder_44/file_2478.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000037,E00012,ACC-0000039,MAIL,UPLOAD,Загрузка файла,PUBLIC,2024-08-17 13:26:03,/data/mail/folder_42/file_1493.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000038,E00013,ACC-0000041,MAIL,READ,Чтение файла,PUBLIC,2024-03-01 07:49:00,/data/mail/folder_9/file_3887.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000039,E00013,ACC-0000043,CRM,UPLOAD,Загрузка файла,PUBLIC,2024-08-05 16:14:02,/data/crm/folder_21/file_1924.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000040,E00013,ACC-0000043,CRM,DOWNLOAD,Скачивание файла,INTERNAL,2024-11-11 13:09:29,/data/crm/folder_29/file_1016.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000041,E00014,ACC-0000045,MAIL,DOWNLOAD,Скачивание файла,PUBLIC,2024-05-29 02:57:59,/data/mail/folder_5/file_1924.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000042,E00014,ACC-0000045,MAIL,UPLOAD,Загрузка файла,PUBLIC,2024-07-11 08:46:45,/data/mail/folder_19/file_1848.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000043,E00015,ACC-0000048,CRM,SHARE,Предоставление доступа,STRICTLY_CONFIDENTIAL,2024-03-07 09:25:10,/data/crm/folder_8/file_2209.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000044,E00015,ACC-0000048,CRM,SHARE,Предоставление доступа,PUBLIC,2024-07-31 00:27:41,/data/crm/folder_11/file_4029.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000045,E00015,ACC-0000048,CRM,SHARE,Предоставление доступа,PUBLIC,2024-09-22 17:30:18,/data/crm/folder_41/file_343.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000046,E00015,ACC-0000048,CRM,UPLOAD,Загрузка файла,INTERNAL,2024-02-16 23:10:32,/data/crm/folder_42/file_4805.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000047,E00016,ACC-0000050,MAIL,DOWNLOAD,Скачивание файла,STRICTLY_CONFIDENTIAL,2024-10-23 19:33:21,/data/mail/folder_12/file_3325.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000048,E00016,ACC-0000050,MAIL,READ,Чтение файла,PUBLIC,2024-10-17 05:11:57,/data/mail/folder_44/file_4682.dat,N,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000049,E00016,ACC-0000050,MAIL,SHARE,Предоставление доступа,CONFIDENTIAL,2024-02-11 02:42:23,/data/mail/folder_41/file_3830.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000050,E00017,ACC-0000053,MAIL,READ,Чтение файла,STRICTLY_CONFIDENTIAL,2024-12-01 00:22:17,/data/mail/folder_45/file_3780.dat,N,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000051,E00017,ACC-0000053,MAIL,READ,Чтение файла,CONFIDENTIAL,2024-07-30 04:14:19,/data/mail/folder_13/file_4294.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000052,E00017,ACC-0000053,MAIL,SHARE,Предоставление доступа,PUBLIC,2024-10-20 16:06:34,/data/mail/folder_43/file_443.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000053,E00017,ACC-0000053,MAIL,UPLOAD,Загрузка файла,INTERNAL,2024-03-07 02:16:21,/data/mail/folder_30/file_2170.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000054,E00018,ACC-0000055,FILE,READ,Чтение файла,INTERNAL,2024-09-18 12:44:50,/data/file/folder_48/file_168.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000055,E00018,ACC-0000055,FILE,DOWNLOAD,Скачивание файла,PUBLIC,2024-04-10 04:38:36,/data/file/folder_43/file_4720.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000056,E00018,ACC-0000055,FILE,READ,Чтение файла,CONFIDENTIAL,2024-06-27 19:24:54,/data/file/folder_23/file_4917.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000057,E00018,ACC-0000055,FILE,READ,Чтение файла,INTERNAL,2024-07-04 05:20:03,/data/file/folder_37/file_4660.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000058,E00019,ACC-0000057,MAIL,DOWNLOAD,Скачивание файла,CONFIDENTIAL,2024-06-20 17:22:57,/data/mail/folder_32/file_1203.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000059,E00019,ACC-0000057,MAIL,DOWNLOAD,Скачивание файла,INTERNAL,2024-03-08 17:50:57,/data/mail/folder_15/file_111.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000060,E00019,ACC-0000057,MAIL,UPLOAD,Загрузка файла,CONFIDENTIAL,2024-08-23 11:54:14,/data/mail/folder_28/file_2979.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000061,E00020,ACC-0000061,FILE,READ,Чтение файла,PUBLIC,2024-03-03 23:12:30,/data/file/folder_45/file_1179.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000062,E00020,ACC-0000061,FILE,SHARE,Предоставление доступа,PUBLIC,2024-10-03 08:06:01,/data/file/folder_10/file_3482.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000063,E00020,ACC-0000061,FILE,UPLOAD,Загрузка файла,INTERNAL,2024-03-18 17:45:13,/data/file/folder_23/file_1699.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000064,E00020,ACC-0000061,FILE,DELETE,Удаление файла,CONFIDENTIAL,2024-04-30 20:53:03,/data/file/folder_14/file_15.dat,N,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000065,E00021,ACC-0000063,MAIL,READ,Чтение файла,STRICTLY_CONFIDENTIAL,2024-08-24 10:32:52,/data/mail/folder_18/file_1685.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000066,E00021,ACC-0000063,MAIL,SHARE,Предоставление доступа,PUBLIC,2024-09-21 03:28:45,/data/mail/folder_22/file_4254.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000067,E00021,ACC-0000063,MAIL,UPLOAD,Загрузка файла,STRICTLY_CONFIDENTIAL,2024-02-18 18:36:17,/data/mail/folder_17/file_2872.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000068,E00021,ACC-0000063,MAIL,READ,Чтение файла,CONFIDENTIAL,2024-02-24 07:10:38,/data/mail/folder_16/file_2857.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000069,E00022,ACC-0000066,MAIL,DELETE,Удаление файла,INTERNAL,2024-01-23 13:51:51,/data/mail/folder_3/file_4920.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000070,E00022,ACC-0000066,MAIL,DELETE,Удаление файла,INTERNAL,2024-08-19 06:37:00,/data/mail/folder_24/file_3229.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000071,E00022,ACC-0000066,MAIL,DELETE,Удаление файла,CONFIDENTIAL,2024-04-08 13:30:57,/data/mail/folder_1/file_3081.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000072,E00022,ACC-0000066,MAIL,UPLOAD,Загрузка файла,STRICTLY_CONFIDENTIAL,2024-12-13 09:56:58,/data/mail/folder_44/file_4535.dat,N,Y,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000073,E00022,ACC-0000068,FILE,SHARE,Предоставление доступа,CONFIDENTIAL,2024-11-07 04:45:39,/data/file/folder_47/file_4388.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000074,E00023,ACC-0000070,MAIL,DOWNLOAD,Скачивание файла,CONFIDENTIAL,2024-04-17 22:50:45,/data/mail/folder_15/file_286.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000075,E00023,ACC-0000070,MAIL,DOWNLOAD,Скачивание файла,CONFIDENTIAL,2024-08-31 06:54:16,/data/mail/folder_1/file_3145.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000076,E00025,ACC-0000077,MAIL,DOWNLOAD,Скачивание файла,STRICTLY_CONFIDENTIAL,2024-06-08 11:10:33,/data/mail/folder_21/file_3142.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000077,E00025,ACC-0000077,MAIL,READ,Чтение файла,INTERNAL,2024-04-29 20:54:01,/data/mail/folder_18/file_3625.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000078,E00025,ACC-0000077,MAIL,SHARE,Предоставление доступа,STRICTLY_CONFIDENTIAL,2024-09-13 20:31:23,/data/mail/folder_38/file_3303.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000079,E00025,ACC-0000078,CRM,READ,Чтение файла,STRICTLY_CONFIDENTIAL,2024-10-29 22:06:34,/data/crm/folder_17/file_3025.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000080,E00027,ACC-0000083,FILE,DELETE,Удаление файла,STRICTLY_CONFIDENTIAL,2024-01-29 04:38:51,/data/file/folder_42/file_860.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000081,E00027,ACC-0000083,FILE,DOWNLOAD,Скачивание файла,INTERNAL,2024-11-14 18:14:40,/data/file/folder_7/file_2127.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000082,E00028,ACC-0000087,CRM,READ,Чтение файла,INTERNAL,2024-11-06 15:48:47,/data/crm/folder_37/file_830.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000083,E00028,ACC-0000087,CRM,DELETE,Удаление файла,PUBLIC,2024-01-30 21:40:50,/data/crm/folder_25/file_3831.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000084,E00029,ACC-0000089,DWH,READ,Чтение файла,CONFIDENTIAL,2024-12-30 21:10:54,/data/dwh/folder_19/file_3920.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000085,E00031,ACC-0000093,MAIL,SHARE,Предоставление доступа,INTERNAL,2024-02-24 14:11:41,/data/mail/folder_8/file_745.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000086,E00031,ACC-0000093,MAIL,UPLOAD,Загрузка файла,PUBLIC,2024-01-26 02:51:07,/data/mail/folder_16/file_4607.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000087,E00031,ACC-0000095,DWH,DELETE,Удаление файла,INTERNAL,2024-11-27 13:14:28,/data/dwh/folder_15/file_753.dat,N,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000088,E00031,ACC-0000095,DWH,SHARE,Предоставление доступа,STRICTLY_CONFIDENTIAL,2024-01-27 04:41:24,/data/dwh/folder_36/file_4810.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000089,E00031,ACC-0000095,DWH,DOWNLOAD,Скачивание файла,CONFIDENTIAL,2024-01-24 20:01:22,/data/dwh/folder_10/file_4966.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000090,E00032,ACC-0000098,FILE,READ,Чтение файла,CONFIDENTIAL,2024-10-02 12:55:31,/data/file/folder_32/file_1615.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000091,E00032,ACC-0000098,FILE,READ,Чтение файла,CONFIDENTIAL,2024-02-19 06:20:51,/data/file/folder_22/file_1346.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000092,E00033,ACC-0000100,MAIL,DELETE,Удаление файла,INTERNAL,2024-12-11 09:39:55,/data/mail/folder_27/file_1008.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000093,E00033,ACC-0000100,MAIL,DELETE,Удаление файла,CONFIDENTIAL,2024-08-09 01:06:31,/data/mail/folder_13/file_3565.dat,N,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000094,E00033,ACC-0000100,MAIL,SHARE,Предоставление доступа,STRICTLY_CONFIDENTIAL,2024-06-02 15:24:43,/data/mail/folder_38/file_4790.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000095,E00033,ACC-0000100,MAIL,DELETE,Удаление файла,CONFIDENTIAL,2024-09-21 08:39:18,/data/mail/folder_1/file_3148.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000096,E00033,ACC-0000102,CRM,SHARE,Предоставление доступа,CONFIDENTIAL,2024-08-06 14:47:14,/data/crm/folder_36/file_3296.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000097,E00033,ACC-0000103,FILE,SHARE,Предоставление доступа,STRICTLY_CONFIDENTIAL,2024-12-27 12:11:37,/data/file/folder_34/file_4684.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000098,E00033,ACC-0000103,FILE,SHARE,Предоставление доступа,CONFIDENTIAL,2024-07-24 03:34:39,/data/file/folder_9/file_136.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000099,E00033,ACC-0000103,FILE,UPLOAD,Загрузка файла,STRICTLY_CONFIDENTIAL,2024-10-12 12:57:39,/data/file/folder_39/file_4163.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000100,E00034,ACC-0000105,MAIL,SHARE,Предоставление доступа,PUBLIC,2024-07-07 15:23:19,/data/mail/folder_49/file_1759.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000101,E00034,ACC-0000105,MAIL,READ,Чтение файла,STRICTLY_CONFIDENTIAL,2024-10-15 16:13:23,/data/mail/folder_36/file_1633.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000102,E00034,ACC-0000105,MAIL,READ,Чтение файла,STRICTLY_CONFIDENTIAL,2024-03-23 14:05:19,/data/mail/folder_13/file_2766.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000103,E00034,ACC-0000105,MAIL,DELETE,Удаление файла,INTERNAL,2024-07-02 18:31:30,/data/mail/folder_36/file_2653.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000104,E00035,ACC-0000108,MAIL,DELETE,Удаление файла,INTERNAL,2024-08-30 08:31:10,/data/mail/folder_44/file_1577.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000105,E00035,ACC-0000108,MAIL,DELETE,Удаление файла,PUBLIC,2024-03-19 14:17:21,/data/mail/folder_14/file_2920.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000106,E00035,ACC-0000108,MAIL,SHARE,Предоставление доступа,INTERNAL,2024-09-06 09:22:23,/data/mail/folder_13/file_4210.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000107,E00035,ACC-0000110,DWH,SHARE,Предоставление доступа,INTERNAL,2024-11-07 08:50:05,/data/dwh/folder_48/file_3774.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000108,E00035,ACC-0000110,DWH,UPLOAD,Загрузка файла,STRICTLY_CONFIDENTIAL,2024-11-21 19:03:09,/data/dwh/folder_36/file_1887.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000109,E00036,ACC-0000112,MAIL,DOWNLOAD,Скачивание файла,STRICTLY_CONFIDENTIAL,2024-05-31 09:24:41,/data/mail/folder_16/file_2815.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000110,E00036,ACC-0000114,CRM,READ,Чтение файла,PUBLIC,2024-10-15 06:37:57,/data/crm/folder_30/file_4046.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000111,E00037,ACC-0000116,MAIL,UPLOAD,Загрузка файла,PUBLIC,2024-10-01 08:41:03,/data/mail/folder_7/file_810.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000112,E00037,ACC-0000117,CRM,DELETE,Удаление файла,CONFIDENTIAL,2024-06-02 16:42:02,/data/crm/folder_32/file_2476.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000113,E00037,ACC-0000117,CRM,UPLOAD,Загрузка файла,STRICTLY_CONFIDENTIAL,2024-11-05 14:22:16,/data/crm/folder_19/file_253.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000114,E00038,ACC-0000119,MAIL,DELETE,Удаление файла,PUBLIC,2024-09-04 18:44:23,/data/mail/folder_44/file_4651.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000115,E00038,ACC-0000119,MAIL,DOWNLOAD,Скачивание файла,CONFIDENTIAL,2024-03-04 07:47:07,/data/mail/folder_18/file_3680.dat,Y,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000116,E00038,ACC-0000121,DWH,DOWNLOAD,Скачивание файла,CONFIDENTIAL,2024-01-10 13:58:45,/data/dwh/folder_38/file_4761.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000117,E00038,ACC-0000121,DWH,DOWNLOAD,Скачивание файла,PUBLIC,2024-10-26 07:15:01,/data/dwh/folder_37/file_808.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000118,E00039,ACC-0000123,MAIL,DELETE,Удаление файла,STRICTLY_CONFIDENTIAL,2024-07-10 15:39:46,/data/mail/folder_3/file_705.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000119,E00039,ACC-0000123,MAIL,DOWNLOAD,Скачивание файла,STRICTLY_CONFIDENTIAL,2024-08-19 01:34:11,/data/mail/folder_11/file_4366.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
