src_role_assignment_id,employee_src_id,src_account_id,system_code,role_code,role_name,role_group,assigned_at,revoked_at,assignment_status,source_system,load_dttm,batch_id
ROLE-0000059,E00013,ACC-0000041,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-06-07 01:02:39,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000060,E00013,ACC-0000041,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-08-01 08:54:18,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000061,E00013,ACC-0000042,FILE,FILE_USER,Пользователь файлового хранилища,BASE,2024-11-17 23:56:13,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000062,E00013,ACC-0000043,CRM,CRM_MANAGER,Менеджер CRM,POWER,2024-09-16 09:47:30,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000063,E00014,ACC-0000044,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-07-18 17:58:02,2024-11-11 17:58:02,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000064,E00014,ACC-0000045,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-07-19 06:45:33,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000065,E00015,ACC-0000046,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-03-21 14:07:02,2024-05-21 14:07:02,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000066,E00015,ACC-0000047,VPN,VPN_USER,VPN пользователь,BASE,2024-07-20 07:20:48,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000067,E00015,ACC-0000048,CRM,CRM_USER,Пользователь CRM,BASE,2024-09-15 01:37:05,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000068,E00015,ACC-0000048,CRM,CRM_MANAGER,Менеджер CRM,POWER,2024-01-20 01:57:59,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000069,E00016,ACC-0000049,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-07-27 05:37:57,2024-10-18 05:37:57,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000070,E00016,ACC-0000050,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-07-29 04:54:57,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000071,E00016,ACC-0000051,VPN,VPN_USER,VPN пользователь,BASE,2024-02-07 04:03:08,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000072,E00017,ACC-0000052,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-09-10 16:32:19,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000073,E00017,ACC-0000052,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-10-09 17:51:17,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000074,E00017,ACC-0000053,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-06-03 15:49:49,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000075,E00017,ACC-0000053,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-08-13 10:45:29,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000076,E00018,ACC-0000054,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-06-14 06:34:28,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000077,E00018,ACC-0000055,FILE,FILE_ADMIN,Администратор файлового хранилища,PRIVILEGED,2024-10-19 13:01:49,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000078,E00018,ACC-0000055,FILE,FILE_EXT,Расширенный файловый доступ,POWER,2024-11-29 03:41:48,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000079,E00019,ACC-0000056,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-09-13 09:20:51,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000080,E00019,ACC-0000057,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-09-14 08:12:33,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000081,E00019,ACC-0000057,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-04-28 21:52:19,2024-06-24 21:52:19,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000082,E00019,ACC-0000058,VPN,VPN_USER,VPN пользователь,BASE,2024-03-05 21:39:36,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000083,E00019,ACC-0000059,ERP,ERP_ADMIN,Администратор ERP,PRIVILEGED,2024-11-21 22:41:31,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000084,E00019,ACC-0000059,ERP,ERP_APPROVER,Согласующий ERP,POWER,2024-06-12 15:35:52,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000085,E00020,ACC-0000060,AD,AD_USER,Пользователь домена,BASE,2024-09-14 01:54:51,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000086,E00020,ACC-0000060,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-05-22 20:49:15,2024-06-05 20:49:15,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000087,E00020,ACC-0000061,FILE,FILE_ADMIN,Администратор файлового хранилища,PRIVILEGED,2024-11-07 00:19:58,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000088,E00020,ACC-0000061,FILE,FILE_USER,Пользователь файлового хранилища,BASE,2024-03-20 20:02:16,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000089,E00021,ACC-0000062,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-02-26 03:24:51,2024-04-13 03:24:51,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000090,E00021,ACC-0000063,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-07-14 08:32:38,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000091,E00021,ACC-0000064,ERP,ERP_ADMIN,Администратор ERP,PRIVILEGED,2024-09-25 07:45:28,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000092,E00021,ACC-0000064,ERP,ERP_APPROVER,Согласующий ERP,POWER,2024-11-08 14:52:06,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000093,E00022,ACC-0000065,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-10-02 00:33:59,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000094,E00022,ACC-0000065,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-03-16 14:59:16,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000095,E00022,ACC-0000066,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-09-27 03:41:19,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000096,E00022,ACC-0000066,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-07-25 17:25:16,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000097,E00022,ACC-0000067,VPN,VPN_USER,VPN пользователь,BASE,2024-08-28 19:52:18,2024-12-11 19:52:18,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000098,E00022,ACC-0000068,FILE,FILE_USER,Пользователь файлового хранилища,BASE,2024-11-26 22:48:24,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000099,E00023,ACC-0000069,AD,AD_USER,Пользователь домена,BASE,2024-06-12 02:18:40,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000100,E00023,ACC-0000069,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-02-10 17:45:52,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000101,E00023,ACC-0000070,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-03-19 12:05:11,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000102,E00023,ACC-0000070,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-04-22 20:10:28,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000103,E00023,ACC-0000071,VPN,VPN_EXT,Расширенный VPN доступ,POWER,2024-10-16 13:09:52,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000104,E00023,ACC-0000072,ERP,ERP_ADMIN,Администратор ERP,PRIVILEGED,2024-10-06 16:42:56,2025-01-06 16:42:56,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000105,E00023,ACC-0000072,ERP,ERP_USER,Пользователь ERP,BASE,2024-01-18 23:00:56,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000106,E00024,ACC-0000073,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-06-29 20:57:06,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000107,E00024,ACC-0000074,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-03-15 03:08:45,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000108,E00024,ACC-0000074,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-07-03 01:43:55,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000109,E00024,ACC-0000075,CRM,CRM_ADMIN,Администратор CRM,PRIVILEGED,2024-05-22 05:17:09,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000110,E00025,ACC-0000076,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-09-18 01:31:59,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000111,E00025,ACC-0000077,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-12-01 03:50:02,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000112,E00025,ACC-0000078,CRM,CRM_USER,Пользователь CRM,BASE,2024-07-29 07:04:55,2024-11-26 07:04:55,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000113,E00026,ACC-0000079,AD,AD_USER,Пользователь домена,BASE,2024-06-30 20:52:57,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000114,E00026,ACC-0000080,VPN,VPN_ADMIN,Администратор VPN,PRIVILEGED,2024-07-31 20:01:15,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000115,E00027,ACC-0000081,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-05-22 10:27:22,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000116,E00027,ACC-0000081,AD,AD_USER,Пользователь домена,BASE,2024-03-05 17:15:41,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000117,E00027,ACC-0000082,VPN,VPN_EXT,Расширенный VPN доступ,POWER,2024-04-13 11:08:33,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000118,E00027,ACC-0000082,VPN,VPN_USER,VPN пользователь,BASE,2024-05-07 18:31:42,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000119,E00027,ACC-0000083,FILE,FILE_USER,Пользователь файлового хранилища,BASE,2024-01-03 06:41:45,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000120,E00028,ACC-0000084,AD,AD_USER,Пользователь домена,BASE,2024-09-10 01:32:31,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000121,E00028,ACC-0000084,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-11-24 20:29:08,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000122,E00028,ACC-0000085,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-06-09 10:52:38,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000123,E00028,ACC-0000085,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-01-24 12:28:39,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000124,E00028,ACC-0000086,VPN,VPN_ADMIN,Администратор VPN,PRIVILEGED,2024-05-25 00:03:51,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000125,E00028,ACC-0000086,VPN,VPN_USER,VPN пользователь,BASE,2024-02-09 20:38:14,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000126,E00028,ACC-0000087,CRM,CRM_MANAGER,Менеджер CRM,POWER,2024-07-18 18:32:14,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000127,E00028,ACC-0000087,CRM,CRM_ADMIN,Администратор CRM,PRIVILEGED,2024-08-11 16:16:31,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000128,E00029,ACC-0000088,AD,AD_USER,Пользователь домена,BASE,2024-09-12 18:46:38,2024-12-23 18:46:38,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000129,E00029,ACC-0000088,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-02-02 16:19:15,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000130,E00029,ACC-0000089,DWH,DWH_READER,Чтение DWH,BASE,2024-05-01 08:43:50,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000131,E00029,ACC-0000089,DWH,DWH_ADMIN,Администратор DWH,PRIVILEGED,2024-01-19 10:07:23,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000132,E00029,ACC-0000089,DWH,DWH_ANALYST,Аналитик DWH,POWER,2024-11-24 05:01:58,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000133,E00030,ACC-0000090,AD,AD_USER,Пользователь домена,BASE,2024-02-03 10:32:09,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000134,E00030,ACC-0000091,CRM,CRM_MANAGER,Менеджер CRM,POWER,2024-04-29 06:51:59,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000135,E00031,ACC-0000092,AD,AD_USER,Пользователь домена,BASE,2024-09-01 13:54:29,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000136,E00031,ACC-0000093,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-10-05 03:41:58,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000137,E00031,ACC-0000093,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-05-23 23:23:46,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000138,E00031,ACC-0000094,VPN,VPN_ADMIN,Администратор VPN,PRIVILEGED,2024-09-25 08:53:25,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000139,E00031,ACC-0000094,VPN,VPN_USER,VPN пользователь,BASE,2024-04-05 08:08:52,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000140,E00031,ACC-0000095,DWH,DWH_ADMIN,Администратор DWH,PRIVILEGED,2024-07-20 03:54:32,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000141,E00031,ACC-0000095,DWH,DWH_ANALYST,Аналитик DWH,POWER,2024-07-09 20:42:18,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000142,E00032,ACC-0000096,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-03-21 10:47:28,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000143,E00032,ACC-0000097,VPN,VPN_USER,VPN пользователь,BASE,2024-10-06 14:34:22,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
