src_violation_id,employee_src_id,violation_code,violation_name,control_area,materiality_level,violation_status,detected_at,decision_at,decision_text,source_system,load_dttm,batch_id
CMP-0000061,E00029,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-11-04 13:14:04,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000062,E00644,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-09-25 16:15:09,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000063,E02090,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-10-24 22:12:38,2024-11-06 22:12:38,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000064,E01856,COI,Конфликт интересов,ETHICS,HIGH,OPEN,2024-10-30 18:35:39,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000065,E00222,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-11-27 04:18:24,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000066,E01556,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-12-07 06:22:05,2024-12-11 06:22:05,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000067,E00855,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-02-26 00:53:50,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000068,E02822,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-03-21 06:58:49,2024-03-30 06:58:49,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000069,E01932,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-07-05 19:16:52,2024-07-13 19:16:52,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000070,E00101,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-04-17 05:57:06,2024-05-02 05:57:06,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000071,E00090,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-07-01 09:14:30,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000072,E00413,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-10-29 04:36:44,2024-10-31 04:36:44,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000073,E00616,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-11-18 00:52:54,2024-11-22 00:52:54,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000074,E01732,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-08-21 02:36:18,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000075,E00987,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-04-08 06:49:56,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000076,E02265,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-10-27 14:22:02,2024-10-31 14:22:02,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000077,E02536,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,OPEN,2024-05-10 14:14:37,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000078,E01761,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-05-15 01:13:31,2024-05-21 01:13:31,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000079,E01571,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-09-28 21:44:02,2024-10-11 21:44:02,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000080,E01105,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-07-31 19:20:41,2024-08-10 19:20:41,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000081,E01035,COI,Конфликт интересов,ETHICS,HIGH,OPEN,2024-05-28 04:35:09,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000082,E00220,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-02-24 09:09:22,2024-02-27 09:09:22,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000083,E01786,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-04-11 10:33:14,2024-04-15 10:33:14,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000084,E00205,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-05-29 19:38:09,2024-06-03 19:38:09,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000085,E02014,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-02-13 12:59:53,2024-02-24 12:59:53,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000086,E01105,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-10-07 06:54:00,2024-10-22 06:54:00,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000087,E00023,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-07-19 17:03:55,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000088,E01448,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-08-01 08:32:41,2024-08-03 08:32:41,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000089,E00287,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-03-29 07:03:08,2024-04-12 07:03:08,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000090,E00022,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-08-19 13:43:29,2024-08-26 13:43:29,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000091,E00288,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-12-16 02:18:51,2024-12-27 02:18:51,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000092,E00269,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-05-02 19:56:21,2024-05-13 19:56:21,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000093,E00039,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-08-02 21:41:01,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000094,E01235,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-10-16 04:11:19,2024-10-30 04:11:19,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000095,E00349,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-03-14 15:52:38,2024-03-28 15:52:38,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000096,E01404,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-02-26 12:51:29,2024-03-09 12:51:29,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000097,E00001,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,OPEN,2024-10-15 00:51:12,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000098,E00099,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-05-13 21:35:39,2024-05-19 21:35:39,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000099,E00257,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-05-30 15:56:04,2024-06-09 15:56:04,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000100,E00083,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-11-25 02:30:47,2024-12-10 02:30:47,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000101,E00951,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-03-28 08:43:57,2024-04-09 08:43:57,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000102,E01825,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-05-18 22:27:21,2024-05-29 22:27:21,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000103,E01080,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-05-28 11:12:45,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000104,E01883,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-02-11 12:05:19,2024-02-24 12:05:19,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000105,E00209,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-12-28 20:50:53,2025-01-05 20:50:53,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000106,E00148,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-03-12 21:38:11,2024-03-23 21:38:11,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000107,E00219,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-03-28 11:19:31,2024-03-30 11:19:31,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000108,E00073,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-12-18 08:35:53,2024-12-25 08:35:53,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000109,E02144,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-07-10 04:57:11,2024-07-13 04:57:11,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000110,E01481,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-07-31 10:02:04,2024-08-04 10:02:04,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000111,E00601,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-04-09 07:15:17,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000112,E01595,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-05-09 01:45:36,2024-05-21 01:45:36,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000113,E00221,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-01-17 08:15:04,2024-01-20 08:15:04,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000114,E00036,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,OPEN,2024-05-18 10:52:38,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000115,E00252,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-02-02 15:24:18,2024-02-10 15:24:18,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000116,E00564,COI,Конфликт интересов,ETHICS,HIGH,OPEN,2024-06-28 12:37:30,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000117,E00728,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-08-17 15:42:35,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000118,E00740,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-07-01 03:26:11,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000119,E00007,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-02-28 03:25:43,2024-03-04 03:25:43,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000120,E00080,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-01-10 00:22:20,2024-01-23 00:22:20,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000121,E00149,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-03-02 05:22:09,2024-03-12 05:22:09,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000122,E01009,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-10-22 12:10:32,2024-10-30 12:10:32,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000123,E00903,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-11-17 07:37:40,2024-11-23 07:37:40,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000124,E02169,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-11-27 21:43:08,2024-12-07 21:43:08,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000125,E02355,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-12-01 22:02:17,2024-12-13 22:02:17,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000126,E02769,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-12-20 19:29:50,2024-12-30 19:29:50,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
