src_payroll_adj_id,employee_src_id,payroll_month,adjustment_type_code,adjustment_type_name,adjustment_reason_group,amount_rub,manual_flag,approved_flag,source_system,load_dttm,batch_id
PAY-0000021,E00038,2024-10-01,COMP_CORR,Корректировка компенсации,COMPENSATION,22966.84,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000022,E00040,2024-05-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-1077.39,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000023,E00044,2024-03-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,59549.87,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000024,E00044,2024-05-01,COMP_CORR,Корректировка компенсации,COMPENSATION,8365.54,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000025,E00045,2024-06-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,30436.1,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000026,E00045,2024-02-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-36311.88,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000027,E00046,2024-06-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,27600.79,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000028,E00049,2024-11-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-11942.01,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000029,E00049,2024-10-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-16902.85,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000030,E00051,2024-08-01,BONUS_CORR,Корректировка премии,BONUS,61379.47,Y,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000031,E00054,2024-11-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,56413.44,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000032,E00057,2024-11-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-29051.87,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000033,E00060,2024-07-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-14250.69,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000034,E00061,2024-12-01,COMP_CORR,Корректировка компенсации,COMPENSATION,42877.8,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000035,E00061,2024-03-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,22934.46,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000036,E00063,2024-05-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-16647.62,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000037,E00069,2024-05-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-6769.81,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000038,E00069,2024-05-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,35822.49,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000039,E00075,2024-07-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-11679.38,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000040,E00079,2024-09-01,COMP_CORR,Корректировка компенсации,COMPENSATION,1337.35,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000041,E00079,2024-09-01,BONUS_CORR,Корректировка премии,BONUS,-13583.35,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000042,E00080,2024-10-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-11165.47,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000043,E00081,2024-06-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,31634.23,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000044,E00088,2024-07-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-22054.57,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000045,E00090,2024-12-01,BONUS_CORR,Корректировка премии,BONUS,-32388.91,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000046,E00090,2024-08-01,COMP_CORR,Корректировка компенсации,COMPENSATION,30799.6,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000047,E00093,2024-08-01,COMP_CORR,Корректировка компенсации,COMPENSATION,21628.38,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000048,E00100,2024-03-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-44742.74,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000049,E00101,2024-05-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-27131.29,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000050,E00102,2024-05-01,BONUS_CORR,Корректировка премии,BONUS,48652.54,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000051,E00105,2024-10-01,COMP_CORR,Корректировка компенсации,COMPENSATION,31303.8,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000052,E00105,2024-03-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,42437.02,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000053,E00111,2024-03-01,BONUS_CORR,Корректировка премии,BONUS,25679.9,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000054,E00111,2024-10-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-28140.15,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000055,E00113,2024-12-01,COMP_CORR,Корректировка компенсации,COMPENSATION,9726.96,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000056,E00116,2024-06-01,COMP_CORR,Корректировка компенсации,COMPENSATION,1834.95,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000057,E00116,2024-07-01,COMP_CORR,Корректировка компенсации,COMPENSATION,36658.41,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000058,E00118,2024-11-01,BONUS_CORR,Корректировка премии,BONUS,64613.72,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000059,E00118,2024-10-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-3884.03,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000060,E00121,2024-08-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,20326.21,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000061,E00122,2024-04-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,25196.53,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000062,E00122,2024-10-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-7402.21,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000063,E00124,2024-12-01,COMP_CORR,Корректировка компенсации,COMPENSATION,3009.08,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000064,E00129,2024-01-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,9121.1,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000065,E00132,2024-04-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-39141.75,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000066,E00138,2024-01-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-28166.55,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000067,E00143,2024-11-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,63026.36,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000068,E00144,2024-05-01,COMP_CORR,Корректировка компенсации,COMPENSATION,24056.29,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000069,E00145,2024-10-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-31324.69,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000070,E00145,2024-10-01,BONUS_CORR,Корректировка премии,BONUS,-41340.72,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000071,E00146,2024-12-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,43263.79,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000072,E00151,2024-10-01,BONUS_CORR,Корректировка премии,BONUS,44484.88,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000073,E00151,2024-04-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,6253.82,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000074,E00155,2024-05-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,19410.03,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000075,E00160,2024-05-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,8865.68,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000076,E00161,2024-08-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,5628.17,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000077,E00163,2024-03-01,BONUS_CORR,Корректировка премии,BONUS,-14359.75,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000078,E00164,2024-04-01,BONUS_CORR,Корректировка премии,BONUS,25371.08,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000079,E00166,2024-11-01,COMP_CORR,Корректировка компенсации,COMPENSATION,46267.3,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000080,E00177,2024-01-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-27382.59,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000081,E00178,2024-02-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-13413.22,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000082,E00179,2024-01-01,BONUS_CORR,Корректировка премии,BONUS,20744.78,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000083,E00179,2024-02-01,BONUS_CORR,Корректировка премии,BONUS,63226.17,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000084,E00180,2024-07-01,COMP_CORR,Корректировка компенсации,COMPENSATION,56770.61,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000085,E00181,2024-11-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,34933.91,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000086,E00186,2024-05-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-39261.54,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000087,E00187,2024-05-01,BONUS_CORR,Корректировка премии,BONUS,42086.63,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000088,E00188,2024-11-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-32388.37,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000089,E00189,2024-01-01,BONUS_CORR,Корректировка премии,BONUS,6525.47,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000090,E00190,2024-06-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-32356.34,Y,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000091,E00194,2024-10-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,34462.41,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000092,E00196,2024-05-01,COMP_CORR,Корректировка компенсации,COMPENSATION,41166.52,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000093,E00200,2024-06-01,BONUS_CORR,Корректировка премии,BONUS,-10767.05,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000094,E00202,2024-06-01,COMP_CORR,Корректировка компенсации,COMPENSATION,14586.93,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000095,E00202,2024-12-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,7540.82,Y,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000096,E00215,2024-10-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,20201.56,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000097,E00216,2024-08-01,COMP_CORR,Корректировка компенсации,COMPENSATION,25379.29,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000098,E00218,2024-11-01,COMP_CORR,Корректировка компенсации,COMPENSATION,46594.81,Y,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000099,E00227,2024-02-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-13503.19,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000100,E00234,2024-08-01,BONUS_CORR,Корректировка премии,BONUS,59265.8,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000101,E00236,2024-12-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,9277.09,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000102,E00237,2024-10-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-1457.53,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000103,E00238,2024-12-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-9602.21,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000104,E00238,2024-10-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,11694.05,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000105,E00239,2024-04-01,BONUS_CORR,Корректировка премии,BONUS,55488.71,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000106,E00239,2024-03-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-12441.64,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000107,E00240,2024-08-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,54183.55,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000108,E00241,2024-03-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-40421.39,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000109,E00244,2024-10-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-12438.82,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000110,E00244,2024-09-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-20241.57,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000111,E00246,2024-08-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-36680.51,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000112,E00256,2024-01-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,35040.52,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000113,E00259,2024-08-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,58921.18,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000114,E00259,2024-06-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-34885.67,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000115,E00263,2024-06-01,BONUS_CORR,Корректировка премии,BONUS,8157.77,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000116,E00264,2024-11-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,8014.86,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000117,E00267,2024-07-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,58695.84,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000118,E00270,2024-08-01,BONUS_CORR,Корректировка премии,BONUS,23319.46,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000119,E00270,2024-09-01,COMP_CORR,Корректировка компенсации,COMPENSATION,15371.56,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000120,E00272,2024-06-01,BONUS_CORR,Корректировка премии,BONUS,5354.06,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000121,E00273,2024-09-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-31667.21,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000122,E00279,2024-02-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-36116.14,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000123,E00282,2024-08-01,BONUS_CORR,Корректировка премии,BONUS,-33014.18,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000124,E00286,2024-06-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,32317.86,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000125,E00287,2024-06-01,COMP_CORR,Корректировка компенсации,COMPENSATION,11976.22,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000126,E00287,2024-12-01,COMP_CORR,Корректировка компенсации,COMPENSATION,15507.09,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000127,E00289,2024-08-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,41325.58,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000128,E00292,2024-10-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-39865.08,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000129,E00292,2024-02-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-23650.78,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000130,E00295,2024-04-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-25555.44,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000131,E00297,2024-01-01,BONUS_CORR,Корректировка премии,BONUS,-20374.36,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000132,E00299,2024-05-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-40087.78,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000133,E00301,2024-04-01,BONUS_CORR,Корректировка премии,BONUS,28438.17,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000134,E00301,2024-05-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,13713.86,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000135,E00302,2024-12-01,BONUS_CORR,Корректировка премии,BONUS,30426.12,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000136,E00303,2024-03-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,29147.18,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000137,E00306,2024-08-01,COMP_CORR,Корректировка компенсации,COMPENSATION,26951.62,Y,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000138,E00306,2024-12-01,BONUS_CORR,Корректировка премии,BONUS,-21157.64,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000139,E00307,2024-12-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,41711.54,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000140,E00310,2024-07-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,36103.37,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000141,E00311,2024-05-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,59888.16,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000142,E00311,2024-07-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,39802.13,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000143,E00313,2024-03-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,41993.33,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000144,E00317,2024-06-01,COMP_CORR,Корректировка компенсации,COMPENSATION,12030.74,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000145,E00320,2024-11-01,COMP_CORR,Корректировка компенсации,COMPENSATION,17875.06,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000146,E00325,2024-11-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-42746.81,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000147,E00327,2024-04-01,BONUS_CORR,Корректировка премии,BONUS,61869.87,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000148,E00328,2024-01-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,34985.57,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000149,E00328,2024-03-01,BONUS_CORR,Корректировка премии,BONUS,-40153.87,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000150,E00329,2024-08-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,8683.64,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000151,E00329,2024-07-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,45457.1,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000152,E00331,2024-11-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,63955.96,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000153,E00335,2024-12-01,BONUS_CORR,Корректировка премии,BONUS,-42973.77,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000154,E00338,2024-05-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-5505.31,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000155,E00340,2024-03-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-19130.23,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000156,E00340,2024-06-01,COMP_CORR,Корректировка компенсации,COMPENSATION,60825.58,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000157,E00349,2024-05-01,BONUS_CORR,Корректировка премии,BONUS,-7944.95,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000158,E00352,2024-07-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-20529.9,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000159,E00355,2024-06-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,-6230.13,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000160,E00355,2024-01-01,COMP_CORR,Корректировка компенсации,COMPENSATION,50640.28,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
