src_case_id,employee_src_id,case_type_code,case_type_name,risk_flag,case_status,registered_at,resolved_at,resolution_code,resolution_name,source_system,load_dttm,batch_id
SEC-0000014,E00092,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,CLOSED,2024-12-05 08:18:55,2024-12-16 08:18:55,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000015,E00164,PHYS_ACCESS,Нарушение физического доступа,Y,OPEN,2024-03-25 12:25:18,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000016,E00178,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,OPEN,2024-07-11 14:27:32,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000017,E01979,PHYS_ACCESS,Нарушение физического доступа,Y,OPEN,2024-04-05 16:24:47,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000018,E00680,BADGE_MISUSE,Некорректное использование пропуска,N,CLOSED,2024-11-20 09:47:07,2024-11-24 09:47:07,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000019,E02722,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-03-07 11:35:18,2024-03-08 11:35:18,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000020,E00214,BADGE_MISUSE,Некорректное использование пропуска,Y,OPEN,2024-02-08 17:42:20,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000021,E02834,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-03-14 22:13:21,2024-03-17 22:13:21,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000022,E02756,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-02-21 01:16:04,2024-03-02 01:16:04,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000023,E00195,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-12-09 05:46:26,2024-12-19 05:46:26,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000024,E02616,BADGE_MISUSE,Некорректное использование пропуска,Y,OPEN,2024-11-03 06:31:53,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000025,E00057,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-03-23 16:54:48,2024-03-31 16:54:48,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000026,E01721,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-02-08 11:22:55,2024-02-20 11:22:55,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000027,E00063,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-06-02 20:30:35,2024-06-07 20:30:35,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000028,E00508,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-08-05 04:01:46,2024-08-13 04:01:46,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000029,E01275,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-09-09 00:23:48,2024-09-10 00:23:48,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000030,E00215,PHYS_ACCESS,Нарушение физического доступа,Y,OPEN,2024-11-14 09:58:39,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000031,E00263,PHYS_ACCESS,Нарушение физического доступа,Y,OPEN,2024-03-21 06:59:45,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000032,E00102,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,OPEN,2024-05-12 16:20:03,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000033,E02101,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-09-18 10:29:37,2024-09-20 10:29:37,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000034,E02017,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-11-23 19:28:23,2024-12-02 19:28:23,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000035,E00300,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-11-16 03:41:13,2024-11-26 03:41:13,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000036,E01823,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-07-01 14:53:38,2024-07-08 14:53:38,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000037,E00569,PHYS_ACCESS,Нарушение физического доступа,N,CLOSED,2024-08-17 05:00:14,2024-08-29 05:00:14,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000038,E01343,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-10-23 10:52:46,2024-10-24 10:52:46,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000039,E02914,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-01-02 21:07:34,2024-01-06 21:07:34,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000040,E00158,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-05-26 16:48:23,2024-06-05 16:48:23,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000041,E01247,PHYS_ACCESS,Нарушение физического доступа,N,CLOSED,2024-03-19 18:53:56,2024-03-26 18:53:56,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000042,E00233,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-02-08 17:34:47,2024-02-09 17:34:47,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000043,E00300,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-01-04 22:05:52,2024-01-10 22:05:52,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000044,E00276,PHYS_ACCESS,Нарушение физического доступа,N,CLOSED,2024-03-12 00:29:37,2024-03-18 00:29:37,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000045,E00158,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-04-29 03:41:23,2024-05-09 03:41:23,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000046,E02383,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-04-18 04:02:46,2024-04-28 04:02:46,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000047,E00284,BADGE_MISUSE,Некорректное использование пропуска,Y,OPEN,2024-05-20 11:45:23,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000048,E02936,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-05-17 18:31:43,2024-05-21 18:31:43,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000049,E00046,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-01-07 14:05:10,2024-01-15 14:05:10,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000050,E00186,BADGE_MISUSE,Некорректное использование пропуска,N,CLOSED,2024-03-06 23:07:57,2024-03-08 23:07:57,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000051,E02720,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,CLOSED,2024-11-03 05:16:21,2024-11-15 05:16:21,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000052,E00139,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-07-09 20:41:49,2024-07-16 20:41:49,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000053,E00018,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-08-30 02:27:51,2024-09-05 02:27:51,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000054,E01106,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-12-10 14:48:06,2024-12-11 14:48:06,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000055,E01568,BADGE_MISUSE,Некорректное использование пропуска,N,CLOSED,2024-12-18 19:09:09,2024-12-25 19:09:09,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000056,E02401,PHYS_ACCESS,Нарушение физического доступа,N,OPEN,2024-02-02 18:09:09,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000057,E01495,DOC_LEAK,Подозрение на утечку документов,N,OPEN,2024-09-08 14:32:12,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000058,E00422,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-03-24 21:25:22,2024-03-30 21:25:22,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000059,E02363,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-07-05 02:30:02,2024-07-16 02:30:02,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000060,E01747,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,OPEN,2024-10-21 22:19:10,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000061,E00044,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-05-14 02:05:59,2024-05-17 02:05:59,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000062,E00002,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,CLOSED,2024-05-04 11:36:32,2024-05-11 11:36:32,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000063,E01318,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,OPEN,2024-07-12 19:52:37,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000064,E01604,BADGE_MISUSE,Некорректное использование пропуска,N,CLOSED,2024-01-05 14:32:19,2024-01-07 14:32:19,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000065,E02152,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,OPEN,2024-06-04 18:11:01,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000066,E00193,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-10-07 11:49:58,2024-10-19 11:49:58,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000067,E00541,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-01-15 02:35:32,2024-01-20 02:35:32,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000068,E00740,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-08-30 05:31:42,2024-09-10 05:31:42,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000069,E00975,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-12-20 19:31:52,2024-12-23 19:31:52,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000070,E00661,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-01-04 09:58:13,2024-01-09 09:58:13,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000071,E00038,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-02-07 21:55:23,2024-02-16 21:55:23,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000072,E01765,PHYS_ACCESS,Нарушение физического доступа,Y,OPEN,2024-12-27 09:35:24,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000073,E00196,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,OPEN,2024-05-27 04:47:42,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000074,E00224,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-11-14 02:58:29,2024-11-26 02:58:29,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000075,E02957,PHYS_ACCESS,Нарушение физического доступа,Y,OPEN,2024-07-02 10:54:59,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000076,E00019,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-09-30 09:56:58,2024-10-10 09:56:58,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000077,E01526,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-04-23 11:21:46,2024-05-05 11:21:46,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000078,E00833,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-03-31 12:45:14,2024-04-08 12:45:14,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000079,E00300,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-08-01 21:20:35,2024-08-11 21:20:35,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000080,E00484,DOC_LEAK,Подозрение на утечку документов,Y,OPEN,2024-05-25 19:49:59,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000081,E00225,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-08-28 14:11:43,2024-08-30 14:11:43,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000082,E00803,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-12-02 08:14:38,2024-12-05 08:14:38,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000083,E00135,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-01-22 06:27:10,2024-01-24 06:27:10,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000084,E00013,PHYS_ACCESS,Нарушение физического доступа,N,CLOSED,2024-09-18 09:43:39,2024-09-20 09:43:39,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000085,E00032,PHYS_ACCESS,Нарушение физического доступа,N,CLOSED,2024-11-19 03:44:55,2024-11-26 03:44:55,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000086,E01959,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-10-03 16:56:40,2024-10-11 16:56:40,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000087,E00749,PHYS_ACCESS,Нарушение физического доступа,Y,OPEN,2024-08-03 09:15:38,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000088,E02633,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,OPEN,2024-08-05 08:33:43,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000089,E02355,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-08-11 12:08:29,2024-08-18 12:08:29,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000090,E02509,DOC_LEAK,Подозрение на утечку документов,Y,OPEN,2024-11-25 12:52:46,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000091,E01895,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,OPEN,2024-05-24 21:52:50,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000092,E00086,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,OPEN,2024-08-04 12:01:06,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000093,E02103,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-12-15 23:09:08,2024-12-18 23:09:08,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000094,E02543,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-12-15 06:05:30,2024-12-22 06:05:30,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000095,E02953,DOC_LEAK,Подозрение на утечку документов,N,OPEN,2024-07-14 07:38:02,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000096,E02168,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-12-24 20:17:11,2024-12-28 20:17:11,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000097,E00252,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-02-09 15:26:58,2024-02-16 15:26:58,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000098,E01266,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-08-18 19:45:41,2024-08-27 19:45:41,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000099,E02784,DOC_LEAK,Подозрение на утечку документов,Y,OPEN,2024-07-24 15:35:09,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000100,E00064,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-04-06 02:33:45,2024-04-17 02:33:45,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000101,E00727,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-02-29 02:17:43,2024-03-06 02:17:43,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000102,E00880,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,CLOSED,2024-01-17 06:07:11,2024-01-24 06:07:11,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000103,E00239,DOC_LEAK,Подозрение на утечку документов,N,OPEN,2024-12-26 08:04:30,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000104,E02391,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-02-13 13:05:38,2024-02-15 13:05:38,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000105,E01661,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-05-08 00:10:33,2024-05-19 00:10:33,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000106,E00050,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-08-06 14:52:36,2024-08-18 14:52:36,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000107,E00283,BADGE_MISUSE,Некорректное использование пропуска,N,OPEN,2024-05-12 19:31:34,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000108,E00186,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-03-03 02:40:45,2024-03-12 02:40:45,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000109,E00141,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-04-20 01:41:12,2024-04-28 01:41:12,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000110,E02164,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-12-11 13:25:15,2024-12-12 13:25:15,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000111,E02099,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-09-28 12:13:22,2024-10-05 12:13:22,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000112,E00300,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-02-08 23:06:54,2024-02-16 23:06:54,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000113,E00246,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-01-09 09:51:12,2024-01-20 09:51:12,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000114,E00145,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-08-02 21:59:49,2024-08-13 21:59:49,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000115,E00202,DOC_LEAK,Подозрение на утечку документов,Y,OPEN,2024-07-08 12:50:19,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000116,E01338,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-04-26 15:34:02,2024-04-29 15:34:02,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000117,E02943,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-10-07 10:22:52,2024-10-10 10:22:52,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000118,E00152,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,OPEN,2024-01-23 20:21:41,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000119,E02662,PHYS_ACCESS,Нарушение физического доступа,N,CLOSED,2024-05-04 21:05:11,2024-05-06 21:05:11,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000120,E01797,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,CLOSED,2024-03-23 18:48:28,2024-03-27 18:48:28,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000121,E00715,DOC_LEAK,Подозрение на утечку документов,Y,OPEN,2024-12-23 03:06:11,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000122,E01177,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-05-13 01:19:16,2024-05-17 01:19:16,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000123,E02460,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-08-18 23:07:40,2024-08-25 23:07:40,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000124,E00199,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,CLOSED,2024-03-26 13:12:36,2024-04-03 13:12:36,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000125,E00206,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-04-06 07:32:31,2024-04-16 07:32:31,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000126,E01846,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-07-12 22:02:37,2024-07-23 22:02:37,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000127,E01449,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,OPEN,2024-07-28 02:16:30,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000128,E00714,PHYS_ACCESS,Нарушение физического доступа,Y,OPEN,2024-01-07 11:32:58,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000129,E02792,PHYS_ACCESS,Нарушение физического доступа,Y,CLOSED,2024-04-26 00:44:10,2024-05-05 00:44:10,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
