src_network_event_id,employee_src_id,src_account_id,system_code,event_dttm,destination_type,destination_name,traffic_mb,connection_count,blocked_flag,vpn_used_flag,source_system,load_dttm,batch_id
NET-0000011,E00002,ACC-0000007,MAIL,2024-05-01 17:24:36,INTERNAL,corp.local,334.7168,9,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000012,E00002,ACC-0000007,MAIL,2024-03-13 04:34:55,INTERNAL,corp.local,91.5713,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000013,E00002,ACC-0000008,VPN,2024-06-16 03:47:07,EXTERNAL,telegram.org,89.0631,6,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000014,E00003,ACC-0000010,AD,2024-02-03 15:30:50,EXTERNAL,github.com,634.5084,7,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000015,E00003,ACC-0000011,MAIL,2024-12-07 15:08:54,EXTERNAL,telegram.org,673.8599,14,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000016,E00003,ACC-0000011,MAIL,2024-10-08 12:47:57,INTERNAL,intranet.local,582.309,6,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000017,E00003,ACC-0000011,MAIL,2024-11-17 03:04:45,EXTERNAL,drive.google.com,180.1166,5,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000018,E00003,ACC-0000011,MAIL,2024-10-19 00:17:55,EXTERNAL,github.com,543.2133,3,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000019,E00004,ACC-0000013,AD,2024-10-06 10:15:55,EXTERNAL,telegram.org,666.631,17,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000020,E00004,ACC-0000013,AD,2024-02-15 04:00:48,INTERNAL,corp.local,833.5886,11,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000021,E00004,ACC-0000014,MAIL,2024-03-20 11:22:07,EXTERNAL,github.com,795.4,15,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000022,E00004,ACC-0000014,MAIL,2024-08-11 05:55:11,EXTERNAL,github.com,401.2809,3,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000023,E00004,ACC-0000014,MAIL,2024-08-19 23:51:22,INTERNAL,intranet.local,277.9838,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000024,E00004,ACC-0000014,MAIL,2024-01-02 23:54:02,EXTERNAL,github.com,210.5608,3,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000025,E00004,ACC-0000015,VPN,2024-02-09 12:32:21,EXTERNAL,telegram.org,235.6804,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000026,E00004,ACC-0000015,VPN,2024-03-25 07:47:02,EXTERNAL,drive.google.com,357.4292,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000027,E00004,ACC-0000015,VPN,2024-03-19 22:03:05,EXTERNAL,telegram.org,281.5965,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000028,E00004,ACC-0000015,VPN,2024-09-06 03:42:27,EXTERNAL,dropbox.com,731.4239,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000029,E00005,ACC-0000017,AD,2024-01-09 15:02:51,INTERNAL,corp.local,797.8338,16,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000030,E00005,ACC-0000017,AD,2024-05-20 04:47:31,EXTERNAL,drive.google.com,371.8426,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000031,E00005,ACC-0000018,MAIL,2024-02-26 18:43:56,INTERNAL,intranet.local,779.945,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000032,E00005,ACC-0000018,MAIL,2024-06-23 16:51:32,INTERNAL,intranet.local,509.8992,11,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000033,E00005,ACC-0000019,VPN,2024-03-15 07:00:45,INTERNAL,intranet.local,729.0696,20,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000034,E00005,ACC-0000019,VPN,2024-08-20 19:35:15,EXTERNAL,github.com,653.836,17,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000035,E00005,ACC-0000019,VPN,2024-03-19 07:38:46,INTERNAL,corp.local,512.3005,7,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000036,E00006,ACC-0000021,AD,2024-10-15 05:24:24,INTERNAL,corp.local,104.2278,5,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000037,E00006,ACC-0000021,AD,2024-12-29 19:42:33,INTERNAL,corp.local,448.5801,14,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000038,E00006,ACC-0000021,AD,2024-05-21 00:30:23,EXTERNAL,dropbox.com,508.1877,10,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000039,E00006,ACC-0000022,MAIL,2024-07-29 07:09:19,EXTERNAL,telegram.org,188.1781,5,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000040,E00006,ACC-0000022,MAIL,2024-01-06 19:58:05,EXTERNAL,dropbox.com,422.6661,3,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000041,E00006,ACC-0000022,MAIL,2024-03-16 19:29:56,EXTERNAL,telegram.org,105.5037,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000042,E00006,ACC-0000022,MAIL,2024-04-05 09:32:53,INTERNAL,corp.local,430.7905,14,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000043,E00007,ACC-0000024,AD,2024-09-30 12:13:55,EXTERNAL,dropbox.com,263.8293,11,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000044,E00007,ACC-0000024,AD,2024-04-01 09:52:11,INTERNAL,intranet.local,771.3702,14,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000045,E00007,ACC-0000024,AD,2024-12-29 20:19:25,EXTERNAL,github.com,405.0423,10,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000046,E00007,ACC-0000025,MAIL,2024-09-01 00:30:16,EXTERNAL,dropbox.com,341.1202,6,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000047,E00007,ACC-0000025,MAIL,2024-01-17 22:17:49,EXTERNAL,telegram.org,644.1972,20,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000048,E00008,ACC-0000027,AD,2024-03-20 03:18:15,EXTERNAL,telegram.org,170.1635,12,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000049,E00008,ACC-0000028,MAIL,2024-01-09 08:17:47,EXTERNAL,drive.google.com,747.2866,11,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000050,E00008,ACC-0000028,MAIL,2024-08-05 18:03:53,EXTERNAL,dropbox.com,204.0832,3,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000051,E00008,ACC-0000028,MAIL,2024-07-18 16:24:48,INTERNAL,intranet.local,774.856,12,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000052,E00008,ACC-0000028,MAIL,2024-09-27 11:32:59,EXTERNAL,drive.google.com,123.5491,9,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000053,E00008,ACC-0000029,VPN,2024-02-01 22:13:37,EXTERNAL,telegram.org,259.356,9,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000054,E00008,ACC-0000029,VPN,2024-05-24 00:41:39,EXTERNAL,telegram.org,450.8258,3,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000055,E00008,ACC-0000029,VPN,2024-08-06 16:53:22,INTERNAL,intranet.local,748.9432,4,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000056,E00008,ACC-0000029,VPN,2024-07-06 08:37:49,EXTERNAL,telegram.org,295.4068,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000057,E00009,ACC-0000030,AD,2024-04-26 23:28:36,INTERNAL,intranet.local,674.8512,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000058,E00009,ACC-0000030,AD,2024-02-04 04:56:57,INTERNAL,corp.local,396.3603,17,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000059,E00009,ACC-0000030,AD,2024-05-13 23:54:01,EXTERNAL,drive.google.com,232.4249,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000060,E00009,ACC-0000031,MAIL,2024-10-04 03:09:49,EXTERNAL,github.com,808.6857,20,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000061,E00009,ACC-0000031,MAIL,2024-05-03 18:12:05,EXTERNAL,dropbox.com,688.3357,12,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000062,E00009,ACC-0000032,VPN,2024-04-09 18:39:10,EXTERNAL,dropbox.com,694.0554,16,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000063,E00010,ACC-0000035,AD,2024-06-10 03:39:48,EXTERNAL,telegram.org,471.7696,11,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000064,E00010,ACC-0000035,AD,2024-12-09 04:11:27,EXTERNAL,github.com,175.7231,7,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000065,E00011,ACC-0000036,AD,2024-03-08 19:25:33,EXTERNAL,dropbox.com,490.0785,4,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000066,E00011,ACC-0000036,AD,2024-09-23 23:03:39,INTERNAL,corp.local,846.9184,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000067,E00011,ACC-0000036,AD,2024-04-24 22:24:40,INTERNAL,corp.local,754.8555,6,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000068,E00011,ACC-0000036,AD,2024-09-07 10:41:50,INTERNAL,intranet.local,102.6866,5,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000069,E00011,ACC-0000037,MAIL,2024-02-06 07:06:05,INTERNAL,corp.local,309.7196,5,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000070,E00012,ACC-0000038,AD,2024-02-05 04:17:51,INTERNAL,corp.local,130.5714,11,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000071,E00012,ACC-0000038,AD,2024-04-22 11:55:14,EXTERNAL,telegram.org,614.7264,1,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000072,E00012,ACC-0000039,MAIL,2024-01-13 18:13:49,INTERNAL,corp.local,688.59,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000073,E00012,ACC-0000039,MAIL,2024-09-20 09:06:56,EXTERNAL,github.com,832.6251,6,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000074,E00012,ACC-0000039,MAIL,2024-04-14 19:33:35,INTERNAL,corp.local,605.0124,18,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000075,E00012,ACC-0000039,MAIL,2024-10-26 05:18:00,INTERNAL,corp.local,516.2215,4,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000076,E00013,ACC-0000040,AD,2024-06-16 05:08:59,INTERNAL,intranet.local,475.7056,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000077,E00013,ACC-0000040,AD,2024-10-17 13:51:32,EXTERNAL,drive.google.com,586.926,11,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000078,E00013,ACC-0000041,MAIL,2024-01-10 21:08:46,EXTERNAL,drive.google.com,198.9101,17,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000079,E00013,ACC-0000041,MAIL,2024-12-20 19:38:08,EXTERNAL,dropbox.com,405.3429,16,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000080,E00014,ACC-0000044,AD,2024-07-27 07:40:53,EXTERNAL,telegram.org,598.2831,8,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000081,E00014,ACC-0000044,AD,2024-10-25 18:57:31,INTERNAL,corp.local,153.7439,4,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000082,E00014,ACC-0000044,AD,2024-01-31 18:29:46,EXTERNAL,github.com,339.6157,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000083,E00014,ACC-0000045,MAIL,2024-01-24 16:43:17,EXTERNAL,drive.google.com,28.0133,7,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000084,E00014,ACC-0000045,MAIL,2024-10-18 01:11:12,EXTERNAL,github.com,462.5683,9,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000085,E00014,ACC-0000045,MAIL,2024-01-06 00:39:41,EXTERNAL,telegram.org,359.2508,12,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000086,E00015,ACC-0000046,AD,2024-07-20 16:34:52,EXTERNAL,telegram.org,499.6778,6,Y,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000087,E00015,ACC-0000047,VPN,2024-04-18 20:58:12,INTERNAL,intranet.local,502.5571,19,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000088,E00015,ACC-0000047,VPN,2024-10-07 11:04:36,EXTERNAL,telegram.org,599.1614,20,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000089,E00015,ACC-0000047,VPN,2024-08-25 19:36:24,INTERNAL,corp.local,229.329,10,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000090,E00016,ACC-0000049,AD,2024-06-19 12:54:03,EXTERNAL,telegram.org,559.4629,20,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000091,E00016,ACC-0000050,MAIL,2024-01-12 22:38:49,EXTERNAL,drive.google.com,83.5039,3,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000092,E00016,ACC-0000050,MAIL,2024-11-21 10:40:00,EXTERNAL,dropbox.com,482.8687,10,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000093,E00016,ACC-0000051,VPN,2024-07-22 09:26:16,EXTERNAL,telegram.org,175.494,14,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000094,E00017,ACC-0000052,AD,2024-08-15 10:32:52,EXTERNAL,github.com,10.0268,5,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000095,E00017,ACC-0000052,AD,2024-03-30 21:23:58,EXTERNAL,drive.google.com,154.706,1,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000096,E00017,ACC-0000052,AD,2024-01-05 10:46:25,EXTERNAL,telegram.org,679.3333,20,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000097,E00017,ACC-0000053,MAIL,2024-01-08 18:12:27,INTERNAL,corp.local,219.4178,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000098,E00017,ACC-0000053,MAIL,2024-08-02 23:34:15,EXTERNAL,github.com,62.3223,1,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000099,E00018,ACC-0000054,AD,2024-01-24 12:09:08,EXTERNAL,telegram.org,794.6046,7,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000100,E00019,ACC-0000056,AD,2024-10-10 05:18:27,EXTERNAL,github.com,206.6443,12,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000101,E00019,ACC-0000057,MAIL,2024-06-11 10:58:50,EXTERNAL,drive.google.com,725.0877,13,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000102,E00019,ACC-0000057,MAIL,2024-11-24 22:19:13,EXTERNAL,drive.google.com,157.217,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000103,E00019,ACC-0000057,MAIL,2024-12-06 15:52:23,INTERNAL,intranet.local,566.1221,1,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000104,E00019,ACC-0000058,VPN,2024-09-08 20:52:59,INTERNAL,intranet.local,581.204,1,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000105,E00019,ACC-0000058,VPN,2024-10-04 05:23:38,EXTERNAL,telegram.org,730.8584,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000106,E00020,ACC-0000060,AD,2024-04-24 13:50:55,EXTERNAL,github.com,633.9955,6,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000107,E00021,ACC-0000062,AD,2024-08-04 23:45:14,EXTERNAL,github.com,692.8773,16,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000108,E00021,ACC-0000063,MAIL,2024-02-10 20:30:16,INTERNAL,corp.local,684.736,10,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000109,E00021,ACC-0000063,MAIL,2024-12-26 16:19:42,EXTERNAL,dropbox.com,656.7128,6,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000110,E00021,ACC-0000063,MAIL,2024-12-22 04:24:18,INTERNAL,corp.local,450.6327,4,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000111,E00021,ACC-0000063,MAIL,2024-01-09 09:56:37,EXTERNAL,github.com,234.7121,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000112,E00022,ACC-0000065,AD,2024-10-09 22:19:35,EXTERNAL,github.com,768.649,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000113,E00022,ACC-0000065,AD,2024-08-21 19:08:56,EXTERNAL,telegram.org,5.6733,12,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000114,E00022,ACC-0000066,MAIL,2024-02-25 20:06:00,EXTERNAL,github.com,411.4091,6,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000115,E00022,ACC-0000066,MAIL,2024-03-22 01:05:49,EXTERNAL,telegram.org,250.5452,7,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000116,E00022,ACC-0000066,MAIL,2024-11-26 07:20:32,EXTERNAL,telegram.org,679.6441,14,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000117,E00022,ACC-0000067,VPN,2024-08-18 19:41:42,INTERNAL,intranet.local,133.2169,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000118,E00022,ACC-0000067,VPN,2024-01-19 16:59:52,INTERNAL,corp.local,660.2585,16,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000119,E00022,ACC-0000067,VPN,2024-09-21 03:42:47,EXTERNAL,drive.google.com,636.7902,5,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000120,E00022,ACC-0000067,VPN,2024-11-03 10:03:01,EXTERNAL,telegram.org,825.6717,17,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000121,E00023,ACC-0000069,AD,2024-02-28 17:36:22,EXTERNAL,telegram.org,154.7803,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000122,E00023,ACC-0000069,AD,2024-12-23 13:12:42,EXTERNAL,drive.google.com,57.7193,2,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000123,E00023,ACC-0000069,AD,2024-02-15 08:52:28,EXTERNAL,drive.google.com,730.8047,20,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000124,E00023,ACC-0000069,AD,2024-06-27 22:40:07,EXTERNAL,telegram.org,152.4714,7,Y,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000125,E00023,ACC-0000070,MAIL,2024-07-13 03:29:45,EXTERNAL,telegram.org,97.8045,18,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000126,E00023,ACC-0000070,MAIL,2024-05-16 22:00:50,EXTERNAL,telegram.org,14.0531,20,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000127,E00023,ACC-0000071,VPN,2024-10-25 17:14:13,INTERNAL,corp.local,406.4318,14,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000128,E00023,ACC-0000071,VPN,2024-08-03 23:31:43,INTERNAL,corp.local,347.6637,10,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000129,E00024,ACC-0000073,AD,2024-10-06 21:07:31,EXTERNAL,telegram.org,656.749,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000130,E00024,ACC-0000073,AD,2024-09-02 12:18:11,INTERNAL,corp.local,549.7519,11,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000131,E00024,ACC-0000073,AD,2024-02-11 13:24:40,INTERNAL,corp.local,821.3505,10,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000132,E00024,ACC-0000074,MAIL,2024-07-10 17:38:50,EXTERNAL,drive.google.com,758.8938,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000133,E00024,ACC-0000074,MAIL,2024-08-28 06:02:07,INTERNAL,corp.local,693.1993,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000134,E00025,ACC-0000076,AD,2024-02-04 06:17:07,INTERNAL,intranet.local,840.3053,1,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000135,E00025,ACC-0000077,MAIL,2024-04-03 16:18:36,INTERNAL,corp.local,394.6233,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000136,E00025,ACC-0000077,MAIL,2024-09-13 11:11:29,EXTERNAL,dropbox.com,145.2978,9,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000137,E00026,ACC-0000079,AD,2024-06-06 15:06:37,INTERNAL,corp.local,323.2708,4,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000138,E00026,ACC-0000080,VPN,2024-01-08 22:21:39,EXTERNAL,drive.google.com,77.545,8,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000139,E00026,ACC-0000080,VPN,2024-08-20 06:27:42,INTERNAL,corp.local,593.408,5,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000140,E00027,ACC-0000081,AD,2024-06-02 22:17:30,INTERNAL,intranet.local,717.5679,10,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000141,E00027,ACC-0000082,VPN,2024-10-01 10:55:42,EXTERNAL,telegram.org,716.2954,3,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000142,E00027,ACC-0000082,VPN,2024-09-16 22:21:54,INTERNAL,corp.local,766.7107,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000143,E00028,ACC-0000084,AD,2024-02-10 11:58:06,EXTERNAL,telegram.org,675.6546,9,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000144,E00028,ACC-0000084,AD,2024-10-29 09:37:34,INTERNAL,intranet.local,539.2337,6,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000145,E00028,ACC-0000085,MAIL,2024-03-12 06:10:59,INTERNAL,intranet.local,99.1271,13,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000146,E00028,ACC-0000085,MAIL,2024-05-10 21:12:23,INTERNAL,intranet.local,343.7774,18,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000147,E00028,ACC-0000086,VPN,2024-05-22 22:58:56,EXTERNAL,drive.google.com,369.584,20,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000148,E00029,ACC-0000088,AD,2024-11-03 17:21:33,INTERNAL,intranet.local,431.8167,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000149,E00029,ACC-0000088,AD,2024-08-15 21:25:22,INTERNAL,corp.local,414.1979,5,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000150,E00030,ACC-0000090,AD,2024-09-17 06:47:04,EXTERNAL,github.com,284.3668,15,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000151,E00030,ACC-0000090,AD,2024-01-09 14:29:53,EXTERNAL,dropbox.com,382.0025,3,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000152,E00030,ACC-0000090,AD,2024-04-27 03:08:03,EXTERNAL,drive.google.com,473.6374,12,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000153,E00031,ACC-0000092,AD,2024-12-14 14:51:56,EXTERNAL,telegram.org,727.5962,13,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000154,E00031,ACC-0000092,AD,2024-09-14 13:33:53,EXTERNAL,dropbox.com,102.1742,7,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000155,E00031,ACC-0000093,MAIL,2024-06-27 13:40:30,EXTERNAL,dropbox.com,745.9396,16,N,N,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000156,E00031,ACC-0000093,MAIL,2024-12-11 09:45:50,INTERNAL,corp.local,208.3448,16,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000157,E00031,ACC-0000093,MAIL,2024-07-28 12:07:36,EXTERNAL,telegram.org,426.1508,11,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000158,E00031,ACC-0000094,VPN,2024-12-26 02:39:40,INTERNAL,corp.local,506.39,14,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
