src_activity_id,employee_src_id,activity_type_code,activity_type_name,activity_group,activity_status,detected_at,valid_from,valid_to,comment_text,source_system,load_dttm,batch_id
NWA-0000013,E02590,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-06-14 09:53:50,2024-06-14,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000014,E00174,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-09-29 00:44:29,2024-09-29,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000015,E02153,GAMBLING,Азартные игры,BEHAVIOR,CLOSED,2024-07-19 21:19:32,2024-07-19,2024-08-30,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000016,E01959,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-10-11 15:21:47,2024-10-11,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000017,E00758,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-05-26 01:35:35,2024-05-26,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000018,E01711,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-04-14 21:12:38,2024-04-14,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000019,E00211,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-11-22 18:20:47,2024-11-22,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000020,E00708,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-01-15 14:05:05,2024-01-15,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000021,E02628,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-06-05 10:10:39,2024-06-05,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000022,E02633,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-01-04 04:31:52,2024-01-04,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000023,E00222,GAMBLING,Азартные игры,BEHAVIOR,CLOSED,2024-12-19 02:17:32,2024-12-19,2025-02-22,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000024,E01762,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-12-10 17:29:31,2024-12-10,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000025,E00210,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-01-10 16:15:31,2024-01-10,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000026,E01200,EXT_JOB,Внешняя занятость,EMPLOYMENT,CLOSED,2024-03-25 15:07:35,2024-03-25,2024-04-08,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000027,E02191,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-03-31 19:32:17,2024-03-31,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000028,E02845,EXT_JOB,Внешняя занятость,EMPLOYMENT,CLOSED,2024-06-18 16:39:22,2024-06-18,2024-06-28,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000029,E02361,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-02-03 23:26:26,2024-02-03,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000030,E00142,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-12-27 08:29:34,2024-12-27,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000031,E00145,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-04-19 10:54:25,2024-04-19,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000032,E01657,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-08-04 17:48:48,2024-08-04,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000033,E00142,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-07-09 18:03:49,2024-07-09,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000034,E00516,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-10-20 14:05:42,2024-10-20,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000035,E00013,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-06-30 05:17:37,2024-06-30,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000036,E02355,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-08-31 14:56:11,2024-08-31,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000037,E00080,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-11-12 13:32:22,2024-11-12,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000038,E00250,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-09-30 16:49:27,2024-09-30,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000039,E01905,GAMBLING,Азартные игры,BEHAVIOR,CLOSED,2024-12-08 23:32:59,2024-12-08,2025-01-19,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000040,E00169,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-04-16 14:36:45,2024-04-16,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000041,E01524,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-12-08 20:46:51,2024-12-08,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000042,E01811,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-04-19 07:30:19,2024-04-19,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000043,E00157,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-12-12 15:27:40,2024-12-12,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000044,E02570,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-09-27 00:04:27,2024-09-27,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000045,E00078,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,CLOSED,2024-03-09 17:36:10,2024-03-09,2024-05-01,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000046,E00030,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,CLOSED,2024-09-30 23:44:32,2024-09-30,2024-10-21,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000047,E00346,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-05-18 02:28:25,2024-05-18,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000048,E00006,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-03-21 01:55:30,2024-03-21,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000049,E00888,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-06-17 23:04:24,2024-06-17,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000050,E02805,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-06-28 06:59:02,2024-06-28,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000051,E02624,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-05-18 06:14:54,2024-05-18,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000052,E00262,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-10-11 21:31:47,2024-10-11,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000053,E01804,EXT_JOB,Внешняя занятость,EMPLOYMENT,CLOSED,2024-11-21 20:53:02,2024-11-21,2025-01-09,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000054,E00003,GAMBLING,Азартные игры,BEHAVIOR,CLOSED,2024-06-08 17:37:01,2024-06-08,2024-07-31,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000055,E00068,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-02-14 21:11:29,2024-02-14,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000056,E00299,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-10-24 22:19:34,2024-10-24,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000057,E02778,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-08-15 20:03:29,2024-08-15,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000058,E00036,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-03-25 15:03:30,2024-03-25,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000059,E00560,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-12-27 00:28:58,2024-12-27,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000060,E01805,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-02-12 07:50:57,2024-02-12,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000061,E00137,GAMBLING,Азартные игры,BEHAVIOR,CLOSED,2024-06-24 15:58:33,2024-06-24,2024-08-11,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000062,E00212,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-08-17 13:35:32,2024-08-17,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000063,E02035,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-08-01 03:40:49,2024-08-01,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000064,E00182,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-04-28 21:27:20,2024-04-28,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000065,E00049,GAMBLING,Азартные игры,BEHAVIOR,CLOSED,2024-10-08 12:13:48,2024-10-08,2024-10-28,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000066,E02741,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-07-22 10:18:16,2024-07-22,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000067,E02118,EXT_JOB,Внешняя занятость,EMPLOYMENT,CLOSED,2024-05-28 08:51:14,2024-05-28,2024-07-14,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000068,E02666,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-12-06 01:21:16,2024-12-06,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000069,E01349,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-04-27 13:32:21,2024-04-27,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000070,E02533,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-06-15 17:59:24,2024-06-15,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000071,E02101,GAMBLING,Азартные игры,BEHAVIOR,CLOSED,2024-09-08 21:38:34,2024-09-08,2024-10-03,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000072,E01421,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,CLOSED,2024-11-09 03:21:53,2024-11-09,2025-01-14,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000073,E00665,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,CLOSED,2024-03-23 09:43:04,2024-03-23,2024-05-31,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000074,E01873,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-05-05 19:14:35,2024-05-05,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000075,E02930,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-07-16 05:59:55,2024-07-16,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000076,E02806,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-12-29 05:31:16,2024-12-29,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000077,E00046,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,CLOSED,2024-02-02 10:31:56,2024-02-02,2024-04-13,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000078,E01304,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-07-27 03:27:05,2024-07-27,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000079,E01433,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-02-19 12:29:20,2024-02-19,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000080,E00949,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-02-18 06:16:48,2024-02-18,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000081,E00833,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-02-20 14:35:46,2024-02-20,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000082,E00215,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-11-25 21:40:39,2024-11-25,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000083,E01475,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-12-13 07:44:18,2024-12-13,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000084,E02714,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-06-12 14:05:32,2024-06-12,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000085,E00615,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-10-27 17:05:48,2024-10-27,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000086,E00988,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-03-12 15:31:06,2024-03-12,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000087,E00729,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-07-06 08:21:41,2024-07-06,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000088,E01013,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-07-14 09:23:06,2024-07-14,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000089,E00654,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-02-18 19:17:13,2024-02-18,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000090,E02893,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-08-18 09:11:26,2024-08-18,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000091,E01362,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-04-10 22:44:17,2024-04-10,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000092,E02079,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-01-26 22:42:28,2024-01-26,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000093,E00168,EXT_JOB,Внешняя занятость,EMPLOYMENT,CLOSED,2024-10-13 08:14:24,2024-10-13,2024-12-05,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000094,E02026,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-05-16 08:02:53,2024-05-16,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000095,E00122,GAMBLING,Азартные игры,BEHAVIOR,CLOSED,2024-11-17 22:10:31,2024-11-17,2025-02-05,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000096,E00272,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-09-20 05:00:25,2024-09-20,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000097,E01726,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-05-25 13:02:34,2024-05-25,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000098,E00162,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-03-12 21:01:13,2024-03-12,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000099,E00236,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-10-09 16:29:23,2024-10-09,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000100,E02589,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,CLOSED,2024-08-13 12:57:09,2024-08-13,2024-09-23,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000101,E02344,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-12-14 14:43:38,2024-12-14,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000102,E00242,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-08-15 14:12:45,2024-08-15,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000103,E00266,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-09-03 11:47:28,2024-09-03,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000104,E01358,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-03-15 07:53:13,2024-03-15,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000105,E01213,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-04-29 00:20:59,2024-04-29,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000106,E02831,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-12-17 11:30:16,2024-12-17,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000107,E01107,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-07-09 17:49:54,2024-07-09,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000108,E00297,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-01-20 13:56:38,2024-01-20,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000109,E00176,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-01-01 07:33:57,2024-01-01,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000110,E00291,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-05-04 19:22:00,2024-05-04,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000111,E00031,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-07-01 17:08:35,2024-07-01,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000112,E00798,GAMBLING,Азартные игры,BEHAVIOR,CLOSED,2024-05-27 14:02:12,2024-05-27,2024-07-06,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000113,E01284,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-02-27 01:55:51,2024-02-27,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000114,E00249,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-04-12 14:14:02,2024-04-12,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000115,E02739,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-03-31 09:46:24,2024-03-31,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000116,E00165,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-02-08 22:57:04,2024-02-08,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000117,E01259,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-10-15 16:49:39,2024-10-15,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000118,E00750,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-04-10 21:14:38,2024-04-10,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
