src_incident_id,employee_src_id,incident_code,incident_name,severity_level,incident_status,detected_at,closed_at,channel_name,source_system,load_dttm,batch_id
IB-0000014,E01238,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-11-22 19:05:28,2024-11-24 23:05:28,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000015,E00670,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-11-12 12:58:21,2024-11-16 19:58:21,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000016,E00230,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-10-10 10:32:02,2024-10-12 14:32:02,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000017,E00079,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-11-04 01:13:59,2024-11-06 02:13:59,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000018,E00294,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-03-24 16:51:00,2024-03-24 20:51:00,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000019,E00130,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-06-30 22:14:00,2024-07-02 09:14:00,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000020,E01496,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-06-18 22:09:52,2024-06-21 06:09:52,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000021,E01292,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-12-14 23:58:42,2024-12-17 04:58:42,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000022,E00041,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-12-19 12:00:24,2024-12-28 21:00:24,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000023,E00699,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-01-12 06:42:14,2024-01-14 07:42:14,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000024,E01878,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-11-06 12:23:31,2024-11-06 14:23:31,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000025,E00670,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,OPEN,2024-04-23 15:55:12,,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000026,E00212,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-09-13 12:48:29,2024-09-21 00:48:29,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000027,E01951,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-05-04 17:00:28,2024-05-10 19:00:28,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000028,E00205,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-05-19 17:12:47,2024-05-23 02:12:47,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000029,E00241,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-05-11 20:10:04,2024-05-12 23:10:04,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000030,E00021,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-10-30 16:13:09,2024-11-05 23:13:09,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000031,E02078,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-04-06 01:59:08,2024-04-16 05:59:08,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000032,E00313,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,OPEN,2024-02-08 17:32:52,,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000033,E00489,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-06-26 19:50:25,2024-06-26 23:50:25,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000034,E02265,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-11-09 12:58:36,2024-11-18 13:58:36,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000035,E00203,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-04-23 03:33:38,2024-05-03 07:33:38,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000036,E02408,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-08-27 17:11:30,2024-09-01 20:11:30,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000037,E00449,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,OPEN,2024-02-09 14:55:46,,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000038,E01589,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-04-07 00:03:22,2024-04-14 03:03:22,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000039,E00149,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,OPEN,2024-02-26 01:21:52,,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000040,E01313,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-08-17 13:28:32,2024-08-23 17:28:32,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000041,E00007,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,OPEN,2024-11-13 01:54:09,,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000042,E00227,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-04-28 08:19:11,2024-05-06 16:19:11,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000043,E00238,USB_COPY,Копирование данных на внешний носитель,HIGH,OPEN,2024-11-08 09:55:10,,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000044,E01547,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-09-22 18:38:53,2024-10-02 00:38:53,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000045,E01836,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-04-09 22:56:34,2024-04-12 05:56:34,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000046,E00857,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-12-06 20:16:25,2024-12-12 03:16:25,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000047,E00232,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-07-03 03:32:27,2024-07-05 06:32:27,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000048,E00072,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-02-01 06:48:43,2024-02-06 15:48:43,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000049,E00069,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-09-11 00:50:19,2024-09-13 03:50:19,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000050,E00166,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,OPEN,2024-03-25 19:19:17,,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000051,E00298,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-03-31 07:54:31,2024-04-07 18:54:31,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000052,E00706,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-10-07 16:14:14,2024-10-09 17:14:14,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000053,E01374,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-08-30 03:27:48,2024-09-09 14:27:48,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000054,E00105,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-03-27 14:50:22,2024-03-27 15:50:22,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000055,E00920,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-01-25 22:41:19,2024-01-27 01:41:19,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000056,E00089,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-05-24 12:20:46,2024-06-01 23:20:46,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000057,E02205,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-12-03 18:28:22,2024-12-10 03:28:22,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000058,E01221,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-02-10 09:10:29,2024-02-11 18:10:29,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000059,E00276,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-05-31 06:03:43,2024-06-04 09:03:43,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000060,E00199,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-08-09 08:56:45,2024-08-16 16:56:45,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000061,E00161,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-05-07 02:35:04,2024-05-13 13:35:04,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000062,E00205,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-10-28 00:11:00,2024-11-06 07:11:00,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000063,E00093,USB_COPY,Копирование данных на внешний носитель,HIGH,OPEN,2024-08-25 02:24:44,,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000064,E00734,USB_COPY,Копирование данных на внешний носитель,HIGH,OPEN,2024-03-16 01:45:38,,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000065,E00187,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-03-04 08:09:25,2024-03-12 12:09:25,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000066,E00249,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-12-22 03:24:01,2024-12-23 05:24:01,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000067,E01829,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-11-16 13:07:15,2024-11-25 23:07:15,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000068,E02158,USB_COPY,Копирование данных на внешний носитель,HIGH,OPEN,2024-09-10 02:10:10,,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000069,E00282,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-01-23 03:24:00,2024-01-29 10:24:00,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000070,E00087,USB_COPY,Копирование данных на внешний носитель,HIGH,OPEN,2024-01-25 05:29:52,,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000071,E02209,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-03-16 02:32:31,2024-03-19 04:32:31,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000072,E00024,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,OPEN,2024-11-10 10:08:28,,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000073,E00963,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,OPEN,2024-10-02 15:40:11,,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000074,E00663,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-11-23 04:12:54,2024-11-25 15:12:54,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000075,E00204,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-09-27 21:13:53,2024-10-05 04:13:53,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000076,E00727,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-12-11 11:04:14,2024-12-19 21:04:14,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000077,E00835,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-11-12 08:13:29,2024-11-13 17:13:29,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000078,E02586,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-12-20 14:15:06,2024-12-26 17:15:06,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000079,E01016,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-08-02 10:24:38,2024-08-03 11:24:38,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000080,E00259,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-03-19 02:37:17,2024-03-28 05:37:17,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000081,E02082,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-05-15 15:58:09,2024-05-23 03:58:09,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000082,E01333,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-06-06 16:45:33,2024-06-14 00:45:33,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000083,E00023,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-10-20 09:56:05,2024-10-25 19:56:05,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000084,E00276,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-02-09 00:16:21,2024-02-13 04:16:21,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000085,E01914,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-06-21 15:55:21,2024-06-22 23:55:21,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000086,E02431,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-08-13 01:50:52,2024-08-23 05:50:52,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000087,E00255,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-10-12 05:19:48,2024-10-14 17:19:48,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000088,E02851,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-07-26 07:59:49,2024-07-28 17:59:49,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000089,E00386,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-05-05 16:50:56,2024-05-10 02:50:56,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000090,E00115,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-04-15 22:56:52,2024-04-26 09:56:52,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000091,E01221,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-08-12 23:45:41,2024-08-13 07:45:41,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000092,E00585,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-06-09 00:10:18,2024-06-13 02:10:18,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000093,E01624,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-01-09 09:16:03,2024-01-17 19:16:03,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000094,E00255,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-08-05 03:39:19,2024-08-14 13:39:19,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000095,E00309,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-03-16 03:56:06,2024-03-24 08:56:06,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000096,E00994,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-11-21 19:04:28,2024-12-02 01:04:28,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000097,E02382,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-11-09 23:05:17,2024-11-16 04:05:17,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000098,E00162,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-11-03 17:05:58,2024-11-14 04:05:58,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000099,E01339,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-02-15 22:20:01,2024-02-16 01:20:01,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000100,E00235,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-06-03 01:34:58,2024-06-11 11:34:58,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000101,E00279,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-04-15 01:47:52,2024-04-19 07:47:52,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000102,E00003,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-12-06 16:39:15,2024-12-14 20:39:15,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000103,E00157,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-08-02 00:18:00,2024-08-11 12:18:00,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000104,E00055,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-05-15 00:10:27,2024-05-18 01:10:27,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000105,E01832,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,OPEN,2024-12-21 10:16:08,,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000106,E00177,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-10-22 01:35:27,2024-10-23 11:35:27,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000107,E00071,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-05-30 10:51:13,2024-06-07 15:51:13,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000108,E02218,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-06-16 18:28:06,2024-06-17 03:28:06,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000109,E00080,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-07-25 03:35:46,2024-07-31 14:35:46,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000110,E00105,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-05-24 14:39:29,2024-05-25 15:39:29,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000111,E00152,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,OPEN,2024-04-07 21:24:58,,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000112,E01124,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-06-12 20:45:39,2024-06-19 02:45:39,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000113,E00020,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-02-25 01:19:49,2024-02-27 03:19:49,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000114,E02504,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-06-18 09:33:59,2024-06-20 15:33:59,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000115,E00755,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-02-18 12:00:17,2024-02-23 16:00:17,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000116,E02653,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-06-19 17:09:10,2024-06-24 01:09:10,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000117,E01593,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-07-29 04:11:56,2024-08-03 10:11:56,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000118,E01337,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-02-07 10:24:34,2024-02-10 19:24:34,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000119,E00251,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-02-23 06:36:33,2024-02-28 10:36:33,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000120,E00029,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-10-14 18:49:43,2024-10-17 05:49:43,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000121,E00279,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-04-01 23:24:07,2024-04-12 02:24:07,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000122,E01744,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-07-27 04:33:01,2024-07-30 14:33:01,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000123,E02918,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-08-03 04:59:42,2024-08-05 14:59:42,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000124,E00178,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-10-03 19:48:08,2024-10-05 02:48:08,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000125,E01343,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-05-23 00:16:37,2024-05-30 02:16:37,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000126,E00027,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-11-26 18:13:41,2024-12-01 23:13:41,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000127,E00233,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-04-14 13:32:43,2024-04-20 00:32:43,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000128,E00579,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-06-19 05:48:54,2024-06-23 07:48:54,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000129,E00298,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-09-29 18:10:11,2024-10-09 02:10:11,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000130,E00105,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-05-09 11:14:02,2024-05-17 20:14:02,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000131,E00064,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-03-25 13:47:37,2024-03-27 01:47:37,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
