src_absence_event_id,employee_src_id,absence_type_code,absence_type_name,absence_reason_group,start_date,end_date,duration_days,approved_flag,source_system,load_dttm,batch_id
ABS-0000012,E00008,DAY_OFF,Отгул,WORKLOAD,2024-05-18,2024-05-26,9,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000013,E00008,SICK_LEAVE,Больничный,HEALTH,2024-08-17,2024-08-29,13,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000014,E00010,VACATION,Ежегодный отпуск,PLANNED,2024-10-02,2024-10-14,13,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000015,E00011,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-11-25,2024-12-06,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000016,E00012,SICK_LEAVE,Больничный,HEALTH,2024-01-16,2024-01-18,3,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000017,E00012,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-03-08,2024-03-15,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000018,E00012,SICK_LEAVE,Больничный,HEALTH,2024-04-23,2024-05-03,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000019,E00012,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-03-05,2024-03-07,3,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000020,E00014,DAY_OFF,Отгул,WORKLOAD,2024-03-17,2024-03-24,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000021,E00014,SICK_LEAVE,Больничный,HEALTH,2024-04-12,2024-04-16,5,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000022,E00015,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-07-30,2024-08-06,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000023,E00015,VACATION,Ежегодный отпуск,PLANNED,2024-03-15,2024-03-30,16,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000024,E00017,SICK_LEAVE,Больничный,HEALTH,2024-07-03,2024-07-16,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000025,E00017,VACATION,Ежегодный отпуск,PLANNED,2024-01-09,2024-01-26,18,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000026,E00018,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-12-03,2024-12-03,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000027,E00018,SICK_LEAVE,Больничный,HEALTH,2024-09-28,2024-10-06,9,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000028,E00019,VACATION,Ежегодный отпуск,PLANNED,2024-08-04,2024-08-10,7,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000029,E00021,DAY_OFF,Отгул,WORKLOAD,2024-04-26,2024-05-07,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000030,E00021,SICK_LEAVE,Больничный,HEALTH,2024-05-24,2024-06-02,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000031,E00022,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-12-03,2024-12-14,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000032,E00022,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-11-04,2024-11-11,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000033,E00022,DAY_OFF,Отгул,WORKLOAD,2024-08-23,2024-08-31,9,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000034,E00023,DAY_OFF,Отгул,WORKLOAD,2024-08-23,2024-09-01,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000035,E00023,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-06-09,2024-06-14,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000036,E00024,VACATION,Ежегодный отпуск,PLANNED,2024-05-04,2024-05-24,21,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000037,E00025,DAY_OFF,Отгул,WORKLOAD,2024-10-02,2024-10-09,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000038,E00025,SICK_LEAVE,Больничный,HEALTH,2024-11-04,2024-11-12,9,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000039,E00027,DAY_OFF,Отгул,WORKLOAD,2024-07-06,2024-07-11,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000040,E00027,SICK_LEAVE,Больничный,HEALTH,2024-04-27,2024-04-28,2,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000041,E00028,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-01-07,2024-01-20,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000042,E00028,SICK_LEAVE,Больничный,HEALTH,2024-08-25,2024-08-30,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000043,E00031,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-01-30,2024-02-02,4,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000044,E00032,VACATION,Ежегодный отпуск,PLANNED,2024-03-12,2024-03-27,16,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000045,E00033,DAY_OFF,Отгул,WORKLOAD,2024-08-27,2024-09-05,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000046,E00033,VACATION,Ежегодный отпуск,PLANNED,2024-10-13,2024-11-01,20,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000047,E00034,SICK_LEAVE,Больничный,HEALTH,2024-06-14,2024-06-23,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000048,E00034,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-03-16,2024-03-16,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000049,E00036,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-08-19,2024-09-01,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000050,E00037,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-04-07,2024-04-14,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000051,E00037,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-03-23,2024-04-02,11,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000052,E00039,DAY_OFF,Отгул,WORKLOAD,2024-06-05,2024-06-07,3,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000053,E00040,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-04-05,2024-04-11,7,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000054,E00044,SICK_LEAVE,Больничный,HEALTH,2024-06-17,2024-06-29,13,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000055,E00044,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-11-18,2024-11-18,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000056,E00045,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-07-20,2024-07-27,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000057,E00046,DAY_OFF,Отгул,WORKLOAD,2024-08-31,2024-09-03,4,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000058,E00046,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-05-30,2024-06-06,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000059,E00047,DAY_OFF,Отгул,WORKLOAD,2024-04-08,2024-04-08,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000060,E00047,VACATION,Ежегодный отпуск,PLANNED,2024-07-25,2024-08-09,16,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000061,E00051,SICK_LEAVE,Больничный,HEALTH,2024-07-03,2024-07-16,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000062,E00051,DAY_OFF,Отгул,WORKLOAD,2024-06-14,2024-06-23,10,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000063,E00052,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-05-16,2024-05-17,2,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000064,E00053,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-11-01,2024-11-14,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000065,E00053,DAY_OFF,Отгул,WORKLOAD,2024-07-19,2024-07-21,3,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000066,E00054,DAY_OFF,Отгул,WORKLOAD,2024-03-30,2024-04-05,7,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000067,E00054,VACATION,Ежегодный отпуск,PLANNED,2024-03-28,2024-04-11,15,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000068,E00054,DAY_OFF,Отгул,WORKLOAD,2024-10-18,2024-10-28,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000069,E00055,DAY_OFF,Отгул,WORKLOAD,2024-09-30,2024-10-02,3,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000070,E00057,VACATION,Ежегодный отпуск,PLANNED,2024-04-21,2024-05-08,18,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000071,E00057,DAY_OFF,Отгул,WORKLOAD,2024-10-29,2024-10-31,3,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000072,E00057,SICK_LEAVE,Больничный,HEALTH,2024-11-06,2024-11-17,12,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000073,E00057,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-02-29,2024-03-11,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000074,E00058,VACATION,Ежегодный отпуск,PLANNED,2024-04-28,2024-05-14,17,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000075,E00058,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-07-22,2024-07-29,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000076,E00059,VACATION,Ежегодный отпуск,PLANNED,2024-11-23,2024-12-04,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000077,E00059,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-06-01,2024-06-07,7,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000078,E00060,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-11-12,2024-11-21,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000079,E00060,VACATION,Ежегодный отпуск,PLANNED,2024-08-03,2024-08-21,19,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000080,E00061,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-11-29,2024-11-29,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000081,E00063,VACATION,Ежегодный отпуск,PLANNED,2024-01-01,2024-01-20,20,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000082,E00063,SICK_LEAVE,Больничный,HEALTH,2024-09-30,2024-10-05,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000083,E00064,VACATION,Ежегодный отпуск,PLANNED,2024-09-25,2024-10-03,9,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000084,E00066,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-12-05,2024-12-10,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000085,E00066,SICK_LEAVE,Больничный,HEALTH,2024-08-10,2024-08-13,4,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000086,E00067,DAY_OFF,Отгул,WORKLOAD,2024-09-16,2024-09-25,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000087,E00067,DAY_OFF,Отгул,WORKLOAD,2024-04-27,2024-04-28,2,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000088,E00067,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-01-16,2024-01-26,11,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000089,E00068,SICK_LEAVE,Больничный,HEALTH,2024-10-21,2024-10-30,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000090,E00069,DAY_OFF,Отгул,WORKLOAD,2024-10-27,2024-11-08,13,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000091,E00069,VACATION,Ежегодный отпуск,PLANNED,2024-01-14,2024-01-22,9,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000092,E00069,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-09-28,2024-10-04,7,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000093,E00069,SICK_LEAVE,Больничный,HEALTH,2024-10-15,2024-10-17,3,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000094,E00070,VACATION,Ежегодный отпуск,PLANNED,2024-07-29,2024-08-16,19,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000095,E00070,DAY_OFF,Отгул,WORKLOAD,2024-03-01,2024-03-03,3,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000096,E00070,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-04-24,2024-05-06,13,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000097,E00072,VACATION,Ежегодный отпуск,PLANNED,2024-02-22,2024-03-03,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000098,E00072,VACATION,Ежегодный отпуск,PLANNED,2024-10-21,2024-10-31,11,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000099,E00073,VACATION,Ежегодный отпуск,PLANNED,2024-01-21,2024-01-31,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000100,E00073,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-04-16,2024-04-27,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000101,E00073,SICK_LEAVE,Больничный,HEALTH,2024-04-21,2024-04-25,5,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000102,E00073,DAY_OFF,Отгул,WORKLOAD,2024-04-05,2024-04-05,1,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000103,E00075,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-03-18,2024-03-31,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000104,E00077,VACATION,Ежегодный отпуск,PLANNED,2024-11-19,2024-12-07,19,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000105,E00079,VACATION,Ежегодный отпуск,PLANNED,2024-01-24,2024-02-02,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000106,E00079,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-03-06,2024-03-17,12,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000107,E00080,VACATION,Ежегодный отпуск,PLANNED,2024-02-29,2024-03-07,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000108,E00080,SICK_LEAVE,Больничный,HEALTH,2024-06-08,2024-06-17,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000109,E00080,DAY_OFF,Отгул,WORKLOAD,2024-01-24,2024-02-02,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000110,E00082,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-08-25,2024-09-03,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000111,E00082,SICK_LEAVE,Больничный,HEALTH,2024-07-05,2024-07-11,7,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000112,E00083,SICK_LEAVE,Больничный,HEALTH,2024-08-15,2024-08-22,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000113,E00083,DAY_OFF,Отгул,WORKLOAD,2024-05-19,2024-05-30,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000114,E00085,SICK_LEAVE,Больничный,HEALTH,2024-02-22,2024-03-06,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000115,E00086,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-04-01,2024-04-06,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000116,E00087,SICK_LEAVE,Больничный,HEALTH,2024-01-11,2024-01-12,2,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000117,E00088,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-08-12,2024-08-15,4,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000118,E00088,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-04-10,2024-04-21,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000119,E00088,DAY_OFF,Отгул,WORKLOAD,2024-02-19,2024-03-03,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000120,E00089,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-08-31,2024-09-02,3,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000121,E00089,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-04-01,2024-04-05,5,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000122,E00090,DAY_OFF,Отгул,WORKLOAD,2024-08-11,2024-08-22,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000123,E00090,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-02-25,2024-02-25,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000124,E00091,DAY_OFF,Отгул,WORKLOAD,2024-07-25,2024-08-03,10,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000125,E00091,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-11-20,2024-12-03,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000126,E00091,SICK_LEAVE,Больничный,HEALTH,2024-08-17,2024-08-17,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000127,E00092,SICK_LEAVE,Больничный,HEALTH,2024-04-08,2024-04-08,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000128,E00094,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-11-04,2024-11-04,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000129,E00094,SICK_LEAVE,Больничный,HEALTH,2024-10-11,2024-10-16,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000130,E00095,SICK_LEAVE,Больничный,HEALTH,2024-11-28,2024-12-06,9,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000131,E00095,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-09-03,2024-09-10,8,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000132,E00095,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-03-10,2024-03-20,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000133,E00096,VACATION,Ежегодный отпуск,PLANNED,2024-05-11,2024-05-17,7,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000134,E00096,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-10-25,2024-11-06,13,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000135,E00097,DAY_OFF,Отгул,WORKLOAD,2024-10-03,2024-10-07,5,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000136,E00097,SICK_LEAVE,Больничный,HEALTH,2024-08-12,2024-08-22,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000137,E00097,VACATION,Ежегодный отпуск,PLANNED,2024-02-02,2024-02-17,16,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000138,E00098,SICK_LEAVE,Больничный,HEALTH,2024-04-22,2024-05-03,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000139,E00098,VACATION,Ежегодный отпуск,PLANNED,2024-11-18,2024-11-30,13,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000140,E00098,DAY_OFF,Отгул,WORKLOAD,2024-10-22,2024-10-26,5,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000141,E00101,DAY_OFF,Отгул,WORKLOAD,2024-02-28,2024-03-04,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000142,E00102,SICK_LEAVE,Больничный,HEALTH,2024-08-28,2024-08-31,4,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000143,E00102,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-08-14,2024-08-27,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000144,E00103,VACATION,Ежегодный отпуск,PLANNED,2024-11-18,2024-11-28,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000145,E00103,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-08-07,2024-08-20,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000146,E00104,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-01-01,2024-01-14,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000147,E00105,DAY_OFF,Отгул,WORKLOAD,2024-07-31,2024-08-04,5,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000148,E00105,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-02-23,2024-03-02,9,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000149,E00105,SICK_LEAVE,Больничный,HEALTH,2024-10-08,2024-10-08,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000150,E00107,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-04-30,2024-05-05,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000151,E00108,DAY_OFF,Отгул,WORKLOAD,2024-03-09,2024-03-14,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000152,E00108,SICK_LEAVE,Больничный,HEALTH,2024-08-13,2024-08-16,4,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000153,E00110,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-04-23,2024-05-06,14,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000154,E00110,VACATION,Ежегодный отпуск,PLANNED,2024-09-14,2024-09-23,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000155,E00111,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-07-23,2024-07-24,2,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000156,E00111,VACATION,Ежегодный отпуск,PLANNED,2024-09-21,2024-10-11,21,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000157,E00113,VACATION,Ежегодный отпуск,PLANNED,2024-01-24,2024-02-01,9,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000158,E00113,DAY_OFF,Отгул,WORKLOAD,2024-11-06,2024-11-16,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000159,E00113,DAY_OFF,Отгул,WORKLOAD,2024-10-23,2024-10-24,2,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000160,E00115,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-08-20,2024-08-30,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000161,E00116,DAY_OFF,Отгул,WORKLOAD,2024-02-03,2024-02-13,11,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000162,E00116,SICK_LEAVE,Больничный,HEALTH,2024-04-19,2024-04-23,5,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000163,E00116,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-01-18,2024-01-18,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000164,E00120,DAY_OFF,Отгул,WORKLOAD,2024-10-02,2024-10-02,1,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000165,E00120,DAY_OFF,Отгул,WORKLOAD,2024-04-03,2024-04-13,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000166,E00121,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-06-17,2024-06-24,8,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000167,E00121,DAY_OFF,Отгул,WORKLOAD,2024-10-14,2024-10-20,7,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000168,E00122,VACATION,Ежегодный отпуск,PLANNED,2024-01-11,2024-01-28,18,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
