src_advance_report_id,employee_src_id,report_period,total_amount_rub,approved_amount_rub,rejected_amount_rub,overdue_days,report_status,approver_employee_src_id,source_system,load_dttm,batch_id
ADV-0000025,E00025,2024-06-01,42413.59,42413.59,0.0,0,CLOSED,E00003,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000026,E00027,2024-01-01,27343.94,24951.1,2392.84,0,CLOSED,E00015,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000027,E00029,2024-03-01,21785.03,21785.03,0.0,11,OVERDUE,E00004,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000028,E00031,2024-06-01,91036.81,91036.81,0.0,0,APPROVED,E00028,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000029,E00032,2024-03-01,39792.82,39792.82,0.0,0,IN_REVIEW,E00005,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000030,E00034,2024-07-01,123526.25,123526.25,0.0,0,IN_REVIEW,E00010,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000031,E00035,2024-12-01,161124.61,161124.61,0.0,0,APPROVED,E00014,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000032,E00035,2024-12-01,68308.67,52879.98,15428.69,39,OVERDUE,E00014,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000033,E00039,2024-01-01,60118.15,60118.15,0.0,0,CLOSED,E00030,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000034,E00042,2024-05-01,10788.34,10788.34,0.0,0,IN_REVIEW,E00028,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000035,E00043,2024-08-01,67078.74,67078.74,0.0,0,IN_REVIEW,E00037,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000036,E00043,2024-11-01,116799.9,116799.9,0.0,0,APPROVED,E00037,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000037,E00044,2024-11-01,42345.16,42345.16,0.0,0,APPROVED,E00035,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000038,E00044,2024-04-01,18568.18,18568.18,0.0,0,IN_REVIEW,E00035,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000039,E00047,2024-01-01,148170.88,148170.88,0.0,0,APPROVED,E00043,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000040,E00048,2024-01-01,7280.11,7280.11,0.0,34,OVERDUE,E00001,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000041,E00050,2024-10-01,65684.73,65684.73,0.0,0,IN_REVIEW,E00043,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000042,E00051,2024-10-01,67291.3,67291.3,0.0,0,IN_REVIEW,E00013,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000043,E00051,2024-05-01,163762.26,163762.26,0.0,0,APPROVED,E00013,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000044,E00052,2024-11-01,12112.19,10137.63,1974.56,0,IN_REVIEW,E00041,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000045,E00053,2024-02-01,115888.73,115888.73,0.0,0,CLOSED,E00045,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000046,E00055,2024-07-01,30217.25,30217.25,0.0,0,CLOSED,E00052,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000047,E00056,2024-09-01,89836.25,89836.25,0.0,43,OVERDUE,E00029,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000048,E00059,2024-06-01,55049.43,55049.43,0.0,0,IN_REVIEW,E00016,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000049,E00061,2024-12-01,49034.08,49034.08,0.0,0,APPROVED,E00030,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000050,E00062,2024-03-01,23242.72,23242.72,0.0,21,OVERDUE,E00038,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000051,E00062,2024-11-01,105471.05,105471.05,0.0,4,OVERDUE,E00038,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000052,E00063,2024-07-01,82127.22,82127.22,0.0,0,APPROVED,E00020,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000053,E00063,2024-04-01,123747.56,123747.56,0.0,0,IN_REVIEW,E00020,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000054,E00065,2024-12-01,25616.41,25616.41,0.0,0,IN_REVIEW,E00060,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000055,E00066,2024-05-01,12833.38,12833.38,0.0,0,IN_REVIEW,E00055,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000056,E00067,2024-01-01,174287.97,174287.97,0.0,0,IN_REVIEW,E00028,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000057,E00070,2024-10-01,40662.66,35613.67,5048.99,44,OVERDUE,E00026,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000058,E00070,2024-12-01,128352.23,128352.23,0.0,0,CLOSED,E00026,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000059,E00071,2024-07-01,171797.13,171797.13,0.0,0,IN_REVIEW,E00028,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000060,E00071,2024-07-01,8566.46,6108.14,2458.32,0,APPROVED,E00028,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000061,E00072,2024-10-01,120551.09,120551.09,0.0,0,APPROVED,E00015,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000062,E00073,2024-11-01,43523.22,43523.22,0.0,0,IN_REVIEW,E00049,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000063,E00075,2024-04-01,28993.04,28993.04,0.0,0,APPROVED,E00055,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000064,E00075,2024-11-01,141012.38,141012.38,0.0,0,APPROVED,E00055,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000065,E00078,2024-06-01,29015.96,29015.96,0.0,0,APPROVED,E00076,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000066,E00078,2024-11-01,22440.32,22440.32,0.0,34,OVERDUE,E00076,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000067,E00081,2024-10-01,55899.04,55899.04,0.0,0,APPROVED,E00077,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000068,E00081,2024-12-01,117877.12,105375.58,12501.54,0,CLOSED,E00077,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000069,E00082,2024-09-01,170675.43,170675.43,0.0,0,APPROVED,E00011,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000070,E00085,2024-07-01,164629.66,164629.66,0.0,0,CLOSED,E00071,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000071,E00087,2024-12-01,16318.83,12287.66,4031.17,0,APPROVED,E00062,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000072,E00088,2024-05-01,118779.17,118779.17,0.0,0,CLOSED,E00025,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000073,E00089,2024-03-01,70764.21,70764.21,0.0,0,IN_REVIEW,E00017,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000074,E00089,2024-08-01,29702.44,29702.44,0.0,0,APPROVED,E00017,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000075,E00091,2024-07-01,100865.86,100865.86,0.0,0,IN_REVIEW,E00044,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000076,E00092,2024-09-01,148818.13,148818.13,0.0,0,CLOSED,E00052,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000077,E00093,2024-07-01,122091.98,122091.98,0.0,0,APPROVED,E00073,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000078,E00093,2024-02-01,134544.98,126722.54,7822.44,0,IN_REVIEW,E00073,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000079,E00094,2024-09-01,148953.15,148953.15,0.0,8,OVERDUE,E00080,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000080,E00095,2024-01-01,165535.83,165535.83,0.0,0,IN_REVIEW,E00076,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000081,E00095,2024-03-01,140980.54,136966.29,4014.25,0,APPROVED,E00076,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000082,E00096,2024-05-01,179403.24,179403.24,0.0,0,APPROVED,E00027,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000083,E00096,2024-01-01,72728.31,72728.31,0.0,0,CLOSED,E00027,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000084,E00099,2024-12-01,124145.66,124145.66,0.0,0,IN_REVIEW,E00034,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000085,E00100,2024-01-01,137327.08,137327.08,0.0,0,CLOSED,E00029,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000086,E00101,2024-09-01,79885.6,79885.6,0.0,0,CLOSED,E00040,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000087,E00102,2024-03-01,52130.32,52130.32,0.0,0,IN_REVIEW,E00039,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000088,E00103,2024-04-01,101457.05,101457.05,0.0,0,APPROVED,E00077,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000089,E00104,2024-10-01,118481.57,118481.57,0.0,0,IN_REVIEW,E00087,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000090,E00105,2024-12-01,94848.22,94848.22,0.0,0,IN_REVIEW,E00023,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000091,E00106,2024-11-01,33883.4,33883.4,0.0,0,APPROVED,E00056,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000092,E00106,2024-02-01,104844.39,104844.39,0.0,0,IN_REVIEW,E00056,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000093,E00108,2024-12-01,135264.86,135264.86,0.0,0,APPROVED,E00052,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000094,E00108,2024-05-01,124062.28,124062.28,0.0,0,APPROVED,E00052,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000095,E00109,2024-07-01,103851.28,103851.28,0.0,0,APPROVED,E00015,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000096,E00109,2024-02-01,84994.99,84994.99,0.0,0,APPROVED,E00015,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000097,E00111,2024-08-01,144935.64,144935.64,0.0,0,APPROVED,E00027,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000098,E00112,2024-06-01,82709.75,82709.75,0.0,0,IN_REVIEW,E00081,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000099,E00112,2024-08-01,97240.45,97240.45,0.0,7,OVERDUE,E00081,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000100,E00113,2024-04-01,74038.71,74038.71,0.0,24,OVERDUE,E00071,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000101,E00113,2024-09-01,46732.23,46732.23,0.0,0,APPROVED,E00071,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000102,E00114,2024-05-01,165641.6,165641.6,0.0,0,CLOSED,E00083,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000103,E00116,2024-03-01,154712.2,154712.2,0.0,0,IN_REVIEW,E00066,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000104,E00117,2024-04-01,50141.04,50141.04,0.0,0,APPROVED,E00110,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000105,E00118,2024-05-01,66757.44,66757.44,0.0,0,IN_REVIEW,E00108,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000106,E00120,2024-08-01,77450.27,77450.27,0.0,0,CLOSED,E00090,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000107,E00121,2024-08-01,152118.62,152118.62,0.0,0,CLOSED,E00061,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000108,E00123,2024-10-01,124124.41,124124.41,0.0,0,APPROVED,E00117,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000109,E00124,2024-11-01,38388.31,26270.83,12117.48,6,OVERDUE,E00034,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000110,E00125,2024-01-01,119405.45,119405.45,0.0,0,APPROVED,E00110,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000111,E00127,2024-12-01,98616.29,98616.29,0.0,0,CLOSED,E00098,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000112,E00128,2024-05-01,140617.34,140617.34,0.0,0,IN_REVIEW,E00006,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000113,E00128,2024-07-01,83538.91,83538.91,0.0,0,APPROVED,E00006,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000114,E00130,2024-08-01,151677.52,120868.18,30809.34,0,APPROVED,E00098,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000115,E00130,2024-06-01,141035.14,141035.14,0.0,0,CLOSED,E00098,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000116,E00132,2024-12-01,162742.45,162742.45,0.0,0,APPROVED,E00041,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000117,E00134,2024-05-01,137432.5,137432.5,0.0,0,CLOSED,E00092,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000118,E00135,2024-09-01,123894.11,123894.11,0.0,0,IN_REVIEW,E00013,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000119,E00136,2024-06-01,142787.13,122152.01,20635.12,0,IN_REVIEW,E00091,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000120,E00137,2024-11-01,36760.61,28822.14,7938.47,0,IN_REVIEW,E00011,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000121,E00138,2024-01-01,40616.62,40616.62,0.0,0,CLOSED,E00024,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000122,E00138,2024-01-01,25439.77,16835.13,8604.64,0,IN_REVIEW,E00024,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000123,E00141,2024-12-01,101951.09,101951.09,0.0,0,IN_REVIEW,E00037,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000124,E00142,2024-10-01,133477.61,133477.61,0.0,0,IN_REVIEW,E00102,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000125,E00142,2024-01-01,22793.75,22793.75,0.0,0,IN_REVIEW,E00102,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000126,E00143,2024-05-01,86058.51,86058.51,0.0,0,CLOSED,E00068,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000127,E00144,2024-01-01,175147.7,118046.25,57101.45,0,CLOSED,E00084,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000128,E00145,2024-08-01,145610.67,145610.67,0.0,0,IN_REVIEW,E00030,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000129,E00146,2024-09-01,112085.0,112085.0,0.0,0,CLOSED,E00138,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000130,E00148,2024-10-01,24262.32,24262.32,0.0,0,APPROVED,E00072,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000131,E00148,2024-02-01,113308.49,113308.49,0.0,0,CLOSED,E00072,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000132,E00150,2024-06-01,135292.3,135292.3,0.0,0,CLOSED,E00049,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000133,E00150,2024-12-01,90475.57,90475.57,0.0,0,CLOSED,E00049,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000134,E00153,2024-02-01,165114.98,165114.98,0.0,0,CLOSED,E00038,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000135,E00153,2024-12-01,104195.02,104195.02,0.0,0,IN_REVIEW,E00038,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000136,E00154,2024-11-01,140452.32,140452.32,0.0,0,APPROVED,E00007,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000137,E00154,2024-02-01,23400.76,23400.76,0.0,0,IN_REVIEW,E00007,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000138,E00156,2024-09-01,5989.87,5989.87,0.0,0,APPROVED,E00093,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000139,E00156,2024-03-01,71630.8,61044.83,10585.97,0,IN_REVIEW,E00093,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000140,E00158,2024-04-01,156328.4,156328.4,0.0,0,APPROVED,E00008,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000141,E00160,2024-08-01,17802.19,17019.41,782.78,0,CLOSED,E00071,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000142,E00160,2024-05-01,153788.57,153788.57,0.0,0,IN_REVIEW,E00071,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000143,E00161,2024-11-01,170531.82,170531.82,0.0,0,IN_REVIEW,E00136,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000144,E00161,2024-07-01,39504.82,39504.82,0.0,0,APPROVED,E00136,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000145,E00162,2024-03-01,28162.65,28162.65,0.0,0,IN_REVIEW,E00030,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000146,E00163,2024-08-01,61110.88,61110.88,0.0,0,APPROVED,E00059,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000147,E00163,2024-03-01,12939.35,12939.35,0.0,0,APPROVED,E00059,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000148,E00164,2024-08-01,113769.46,113769.46,0.0,0,CLOSED,E00081,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000149,E00165,2024-06-01,70691.37,70691.37,0.0,10,OVERDUE,E00022,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000150,E00166,2024-04-01,163319.43,163319.43,0.0,0,APPROVED,E00151,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000151,E00167,2024-04-01,57394.15,57394.15,0.0,0,IN_REVIEW,E00109,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000152,E00168,2024-06-01,95192.52,95192.52,0.0,0,IN_REVIEW,E00130,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000153,E00171,2024-05-01,117236.34,117236.34,0.0,16,OVERDUE,E00080,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000154,E00174,2024-11-01,93679.32,93679.32,0.0,0,CLOSED,E00040,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000155,E00177,2024-03-01,102722.94,102722.94,0.0,0,APPROVED,E00079,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000156,E00179,2024-04-01,19913.03,19913.03,0.0,0,CLOSED,E00111,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000157,E00179,2024-10-01,49988.67,49988.67,0.0,0,IN_REVIEW,E00111,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000158,E00182,2024-07-01,172628.16,172628.16,0.0,0,CLOSED,E00006,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000159,E00183,2024-09-01,86390.62,86390.62,0.0,0,CLOSED,E00028,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000160,E00183,2024-08-01,154770.83,154770.83,0.0,0,CLOSED,E00028,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000161,E00184,2024-01-01,178494.24,178494.24,0.0,0,APPROVED,E00080,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000162,E00184,2024-11-01,8710.04,8710.04,0.0,0,CLOSED,E00080,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000163,E00185,2024-12-01,71336.29,53434.85,17901.44,0,APPROVED,E00030,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000164,E00185,2024-02-01,175944.83,172664.57,3280.26,0,APPROVED,E00030,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000165,E00186,2024-06-01,52234.32,52234.32,0.0,0,CLOSED,E00166,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000166,E00187,2024-06-01,139820.24,139820.24,0.0,0,IN_REVIEW,E00040,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000167,E00189,2024-12-01,122473.16,122473.16,0.0,17,OVERDUE,E00161,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000168,E00189,2024-01-01,9304.71,9304.71,0.0,1,OVERDUE,E00161,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000169,E00190,2024-03-01,104717.94,104717.94,0.0,0,IN_REVIEW,E00071,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000170,E00192,2024-02-01,95797.66,95797.66,0.0,28,OVERDUE,E00149,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000171,E00194,2024-03-01,89172.55,89172.55,0.0,0,APPROVED,E00022,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000172,E00194,2024-09-01,85906.66,85906.66,0.0,28,OVERDUE,E00022,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000173,E00196,2024-03-01,12101.44,12101.44,0.0,0,CLOSED,E00087,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000174,E00197,2024-03-01,133508.9,114077.1,19431.8,0,CLOSED,E00143,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000175,E00198,2024-07-01,152110.96,152110.96,0.0,20,OVERDUE,E00150,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000176,E00201,2024-01-01,84371.73,64485.7,19886.03,0,CLOSED,E00093,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000177,E00203,2024-10-01,14252.87,11096.37,3156.5,0,IN_REVIEW,E00190,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000178,E00204,2024-04-01,104198.87,104198.87,0.0,0,IN_REVIEW,E00040,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000179,E00205,2024-04-01,38630.84,38630.84,0.0,0,CLOSED,E00174,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000180,E00206,2024-08-01,151281.21,125568.94,25712.27,37,OVERDUE,E00062,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000181,E00206,2024-01-01,56131.47,40277.02,15854.45,0,APPROVED,E00062,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000182,E00208,2024-03-01,42538.27,42538.27,0.0,0,APPROVED,E00042,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000183,E00209,2024-06-01,39479.33,39479.33,0.0,0,IN_REVIEW,E00096,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000184,E00209,2024-05-01,88656.89,81100.37,7556.52,0,IN_REVIEW,E00096,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000185,E00211,2024-12-01,105748.36,105748.36,0.0,18,OVERDUE,E00057,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000186,E00212,2024-05-01,10953.17,7772.88,3180.29,0,IN_REVIEW,E00096,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000187,E00212,2024-06-01,130809.48,130809.48,0.0,0,APPROVED,E00096,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000188,E00213,2024-09-01,115075.23,115075.23,0.0,0,IN_REVIEW,E00026,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000189,E00216,2024-04-01,172732.47,172732.47,0.0,0,APPROVED,E00199,finance_advance,2024-12-31 12:00:00,finance_batch_001
